Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Lionel,1,Lionel,,Lionel,V,Lionel,V,Lionel,V,Lionel,,Greg,2300,,,100,23
2,Greg,32,_,,Chrissy,,Anna,,Garen ,,Greg,V,Lionel,1955,16.0,Chrissy,85,23
3,KJ,17,Aleks,,Vadym,,Garen ,V,Georgina,,Garen ,,Georgina,1725,5.0,Pierre,75,23
4,Kamal,16,Chrissy,V,Anna,V,Steph,,Greg,V,Georgina,V,Garen ,1541,12.0,Garen ,67,23
5,Pierre,9,Vadym,,Pierre,,Darran,,Anna,,Steph,,Darran,1403,8.0,Anna,61,23
6,Georgina,24,_,,Garen ,V,Georgina,V,Steph,V,Darran,V,Steph,1265,14.0,Darran,55,23
7,Tom,25,_,,Steph,V,Vincent,,Darran,V,Anna,,Vincent,1173,17.0,Aleks,51,23
8,Anna,8,Anna,,Kamal,,Greg,V,Vincent,,Vincent,V,Anna,1081,18.0,Zoltan,47,23
9,Vadym,5,Pierre,,KJ,,Chrissy,,Vadym,V,Vadym,,Greenie,989,,,43,23
10,Vincent,28,_,,Darran,V,Vadym,V,Kamal,,Greenie,V,Vadym,920,10.0,Vincent,40,23
11,Greenie,21,_,,Greenie,,Pierre,,Greenie,V,Kamal,,Zoltan,851,3.0,KJ,37,23
12,Garen ,12,Garen ,,Georgina,V,Kamal,V,Zoltan,,Zoltan,V,Kamal,782,9.0,Vadym,34,23
13,Steph,13,Steph,V,Tom,,KJ,,Chrissy,,Pierre,,Tom,713,4.0,Kamal,31,23
14,Darran,20,Marinko,,Vincent,V,Greenie,V,Pierre,V,Tom,V,Pierre,644,7.0,Tom,28,23
15,Edo,29,_,,Zoltan,,Tom,,KJ,,Chrissy,,KJ,598,2.0,Greg,26,23
16,Chrissy,4,Kamal,,Greg,V,Zoltan,V,Tom,V,KJ,V,Chrissy,552,13.0,Steph,24,23
17,Aleks,3,KJ,,_,,Aleks,,Aleks,,Marinko,,Edo,506,11.0,Greenie,22,23
18,Zoltan,30,_,,Aleks,,_,,Marinko,V,Edo,V,Marinko,460,19.0,Nat,20,23
19,Nat,19,Nat,,_,,_,,Nat,,Aleks,V,Aleks,414,15.0,Edo,18,23
20,Marinko,14,Darran,V,_,,Marinko,,Edo,V,Nat,,Nat,368,20.0,Marinko,16,23
21,_,11,Greenie,,_,,Nat,,_,,_,,_,322,,,14,23
22,_,22,_,,_,,_,,_,,_,,_,276,6.0,Georgina,12,23
23,_,27,_,,Marinko,,_,,_,,_,,_,230,1.0,Lionel,10,23
24,_,6,Georgina,,_,,Edo,,_,,_,,_,207,,,9,23
25,_,7,Tom,,_,,_,,_,,_,,_,184,,,8,23
26,_,26,_,,Nat,,_,,_,,_,,_,161,,,7,23
27,_,23,_,,_,,_,,_,,_,,_,138,,,6,23
28,_,10,Vincent,,_,,_,,_,,_,,_,115,,,5,23
29,_,15,Edo,,_,,_,,_,,_,,_,92,,,4,23
30,_,18,Zoltan,V,_,,_,,_,,_,,_,69,,,3,23
31,_,31,_,,Edo,,_,,_,,_,,_,46,,,2,23
32,_,2,Greg,,_,,_,,_,,_,,_,23,,,1,23
