Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Alejo,1,Alejo,,Alejo,V,Alejo,V,Alejo,,Greg,V,Greg,1800,11.0,Adam,100,18
2,Pierre,32,_,,Stephen M,,Chrissy,,Greg,V,KJ,,KJ,1530,9.0,Chrissy,85,18
3,Beston ,17,Nat,,Chrissy,V,Tom,,Kamal,,Alejo,V,Alejo,1350,14.0,Garen ,75,18
4,Greg,16,Stephen M,V,Shevy,,Greg,V,KJ,V,Kamal,,Kamal,1206,2.0,Pierre,67,18
5,Tom,9,Chrissy,,Tom,V,Beston ,,Chrissy,,Tom,V,Tom,1098,15.0,Elisabeth,61,18
6,Kamal,24,_,,Rocio,,Kamal,V,Tom,V,Beston ,,Beston ,990,4.0,Greg,55,18
7,KJ,25,_,,Aleks,,KJ,V,Beston ,V,Chrissy,,Pierre,918,6.0,Kamal,51,18
8,Shevy,8,Shevy,,Greg,V,Pierre,,Pierre,,Pierre,V,Chrissy,846,1.0,Alejo,47,18
9,Chrissy,5,Tom,,Beston ,V,Stephen M,V,Stephen M,V,Stephen M,,Garen ,774,12.0,Rocio,43,18
10,Greenie,28,_,,Garen ,,Shevy,,Rocio,,Garen ,V,Stephen M,720,3.0,Beston ,40,18
11,Adam,21,_,,Adam,,Rocio,V,Garen ,V,Rocio,,Elisabeth,666,5.0,Tom,37,18
12,Rocio,12,Rocio,,Kamal,V,Aleks,,Elisabeth,,Elisabeth,V,Rocio,612,16.0,Stephen M,34,18
13,Aleks,13,Aleks,,KJ,V,Garen ,V,Shevy,,Aleks,V,Aleks,558,8.0,Shevy,31,18
14,Garen ,20,_,,Greenie,,Adam,,Aleks,V,Adam,,Adam,504,7.0,KJ,28,18
15,Elisabeth,29,_,,Elisabeth,,Greenie,,Adam,V,Shevy,,Greenie,468,,,26,18
16,Stephen M,4,Greg,,Pierre,V,Elisabeth,V,Greenie,,Greenie,V,Shevy,432,13.0,Aleks,24,18
17,Nat,3,Beston ,,_,,Nat,,Nat,,Nat,,Nat,396,17.0,Nat,22,18
18,_,30,_,,Nat,,_,,_,,_,,_,360,10.0,Greenie,20,18
19,_,19,_,,_,,_,,_,,_,,_,324,,,18,18
20,_,14,Garen ,,_,,_,,_,,_,,_,288,,,16,18
21,_,11,Adam,,_,,_,,_,,_,,_,252,,,14,18
22,_,22,_,,_,,_,,_,,_,,_,216,,,12,18
23,_,27,_,,_,,_,,_,,_,,_,180,,,10,18
24,_,6,Kamal,,_,,_,,_,,_,,_,162,,,9,18
25,_,7,KJ,,_,,_,,_,,_,,_,144,,,8,18
26,_,26,_,,_,,_,,_,,_,,_,126,,,7,18
27,_,23,_,,_,,_,,_,,_,,_,108,,,6,18
28,_,10,Greenie,,_,,_,,_,,_,,_,90,,,5,18
29,_,15,Elisabeth,,_,,_,,_,,_,,_,72,,,4,18
30,_,18,_,,_,,_,,_,,_,,_,54,,,3,18
31,_,31,_,,_,,_,,_,,_,,_,36,,,2,18
32,_,2,Pierre,,_,,_,,_,,_,,_,18,,,1,18
