Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Greg,1,Greg,,Greg,,Greg,V,Greg,V,Greg,V,Greg,1400,9.0,Vadym,100,14
2,Pierre,32,_,,_,,Vadym,,Garen ,,Zoltan,,Zoltan,1190,12.0,Adam,85,14
3,Greenie,17,_,,Vadym,V,Kelvin,,Zoltan,V,Garen ,V,Garen ,1050,10.0,Chrissy,75,14
4,Garen ,16,_,,Andy R,,Garen ,V,Andy H,,Andy H,,Andy H,938,7.0,Andy H,67,14
5,Kelvin,9,Vadym,,Kelvin,V,Greenie,,Vadym,,Kelvin,,Pierre,854,14.0,Annabel ,61,14
6,Georgina,24,_,,Adam,,Zoltan,V,Kelvin,V,Pierre,V,Kelvin,770,2.0,Pierre,55,14
7,Andy H,25,_,,Marinko,,Andy H,V,Greenie,,Vadym,V,Vadym,714,1.0,Greg,51,14
8,Andy R,8,Andy R,,Garen ,V,Pierre,,Pierre,V,Greenie,,Greenie,658,5.0,Kelvin,47,14
9,Vadym,5,Kelvin,,Greenie,V,_,,Andy R,V,Andy R,,Georgina,602,3.0,Greenie,43,14
10,Chrissy,28,_,,Annabel ,,Andy R,,Marinko,,Georgina,V,Andy R,560,4.0,Garen ,40,14
11,Zoltan,21,_,,Zoltan,V,Adam,,Georgina,V,Marinko,V,Marinko,518,11.0,Zoltan,37,14
12,Adam,12,Adam,,Georgina,,Marinko,V,Chrissy,,Chrissy,,Chrissy,476,6.0,Georgina,34,14
13,Marinko,13,Marinko,,Andy H,V,Annabel ,,_,,Adam,,Annabel ,434,8.0,Andy R,31,14
14,Annabel ,20,_,,Chrissy,,Georgina,V,Adam,,Annabel ,V,Adam,392,13.0,Marinko,28,14
15,_,29,_,,_,,Chrissy,,Annabel ,,_,,_,364,,,26,14
16,_,4,Garen ,,Pierre,,_,,_,,_,,_,336,,,24,14
17,_,3,Greenie,,_,,_,,_,,_,,_,308,,,22,14
18,_,30,_,,_,,_,,_,,_,,_,280,,,20,14
19,_,19,_,,_,,_,,_,,_,,_,252,,,18,14
20,_,14,Annabel ,,_,,_,,_,,_,,_,224,,,16,14
21,_,11,Zoltan,,_,,_,,_,,_,,_,196,,,14,14
22,_,22,_,,_,,_,,_,,_,,_,168,,,12,14
23,_,27,_,,_,,_,,_,,_,,_,140,,,10,14
24,_,6,Georgina,,_,,_,,_,,_,,_,126,,,9,14
25,_,7,Andy H,,_,,_,,_,,_,,_,112,,,8,14
26,_,26,_,,_,,_,,_,,_,,_,98,,,7,14
27,_,23,_,,_,,_,,_,,_,,_,84,,,6,14
28,_,10,Chrissy,,_,,_,,_,,_,,_,70,,,5,14
29,_,15,_,,_,,_,,_,,_,,_,56,,,4,14
30,_,18,_,,_,,_,,_,,_,,_,42,,,3,14
31,_,31,_,,_,,_,,_,,_,,_,28,,,2,14
32,_,2,Pierre,,_,,_,,_,,_,,_,14,,,1,14
