Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Garen ,1,Garen ,,Garen ,,Garen ,V,Garen ,V,Garen ,,Steph,1000,2.0,Greg,100,10
2,Greg,32,_,,_,,Vadym,,Andy H,,Steph,V,Garen ,850,9.0,Marinko,85,10
3,Anna Z,17,_,,Marinko,,Andy H,V,Steph,V,Andy H,,Greg,750,3.0,Anna Z,75,10
4,Shevy,16,_,,Vadym,V,Shevy,,Greg,,Greg,V,Andy H,670,8.0,Vadym,67,10
5,Andy H,9,Marinko,,Andy H,,Anna Z,,Vadym,,Shevy,,Georgina,610,6.0,Steph,61,10
6,Steph,24,_,,_,,Steph,V,Shevy,V,Georgina,V,Shevy,550,10.0,Chrissy,55,10
7,Georgina,25,_,,_,,Georgina,,Anna Z,,Vadym,V,Vadym,510,4.0,Shevy,51,10
8,Vadym,8,Vadym,,Shevy,,Greg,V,Georgina,V,Anna Z,,Anna Z,470,1.0,Garen ,47,10
9,Marinko,5,Andy H,,Anna Z,,_,,Marinko,,Marinko,V,Marinko,430,5.0,Andy H,43,10
10,Chrissy,28,_,,_,,Marinko,,_,,Chrissy,,Chrissy,400,7.0,Georgina,40,10
11,_,21,_,,_,,_,,_,,_,,_,370,,,37,10
12,_,12,_,,Steph,,_,,Chrissy,,_,,_,340,,,34,10
13,_,13,_,,Georgina,V,_,,_,,_,,_,310,,,31,10
14,_,20,_,,Chrissy,,_,,_,,_,,_,280,,,28,10
15,_,29,_,,_,,Chrissy,,_,,_,,_,260,,,26,10
16,_,4,Shevy,,Greg,,_,,_,,_,,_,240,,,24,10
17,_,3,Anna Z,,_,,_,,_,,_,,_,220,,,22,10
18,_,30,_,,_,,_,,_,,_,,_,200,,,20,10
19,_,19,_,,_,,_,,_,,_,,_,180,,,18,10
20,_,14,_,,_,,_,,_,,_,,_,160,,,16,10
21,_,11,_,,_,,_,,_,,_,,_,140,,,14,10
22,_,22,_,,_,,_,,_,,_,,_,120,,,12,10
23,_,27,_,,_,,_,,_,,_,,_,100,,,10,10
24,_,6,Steph,,_,,_,,_,,_,,_,90,,,9,10
25,_,7,Georgina,,_,,_,,_,,_,,_,80,,,8,10
26,_,26,_,,_,,_,,_,,_,,_,70,,,7,10
27,_,23,_,,_,,_,,_,,_,,_,60,,,6,10
28,_,10,Chrissy,,_,,_,,_,,_,,_,50,,,5,10
29,_,15,_,,_,,_,,_,,_,,_,40,,,4,10
30,_,18,_,,_,,_,,_,,_,,_,30,,,3,10
31,_,31,_,,_,,_,,_,,_,,_,20,,,2,10
32,_,2,Greg,,_,,_,,_,,_,,_,10,,,1,10
