Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Eric L,1,Eric L,,Eric L,,Eric L,V,Eric L,,Greg,,Lionel,1700,12.0,Adam,100,17
2,Lionel,32,_,,_,,Greenie,,Greg,V,Lionel,V,Greg,1445,13.0,Chrissy,85,17
3,Idris,17,_,,Vincent,,Edo,,Idris,,Eric L,V,Eric L,1275,1.0,Eric L,75,17
4,Greg,16,_,,Greenie,V,Greg,V,Lionel,V,Idris,,Idris,1139,11.0,Kamal,67,17
5,Edo,9,Vincent,,Edo,V,Idris,V,Greenie,,Edo,V,Edo,1037,6.0,Shevy,61,17
6,Shevy,24,_,,Adam,,Shevy,,Edo,V,Steph,,Steph,935,4.0,Greg,55,17
7,Steph,25,_,,Chrissy,,Steph,,Shevy,,Greenie,V,Greenie,867,2.0,Lionel,51,17
8,Greenie,8,Greenie,,Greg,V,Lionel,V,Steph,V,Shevy,,Shevy,799,15.0,Andy R,47,17
9,Vincent,5,Edo,,Idris,V,_,,Vincent,V,Vincent,,Vadym,731,8.0,Greenie,43,17
10,Vadym,28,_,,Nat,,Vincent,,Adam,,Vadym,V,Vincent,680,3.0,Idris,40,17
11,Kamal,21,_,,Kamal,,Adam,V,Kamal,,Adam,,Kamal,629,,,37,17
12,Adam,12,Adam,,Shevy,V,Chrissy,,Vadym,V,Kamal,V,Adam,578,9.0,Vincent,34,17
13,Chrissy,13,Chrissy,,Steph,V,Nat,,_,,Chrissy,,Nat,527,10.0,Vadym,31,17
14,Nat,20,_,,Vadym,,Kamal,V,Chrissy,,Nat,V,Chrissy,476,14.0,Nat,28,17
15,Andy R,29,_,,Andy R,,Vadym,V,Nat,V,_,,Andy R,442,7.0,Steph,26,17
16,_,4,Greg,,Lionel,V,Andy R,,Andy R,,Andy R,,_,408,,,24,17
17,_,3,Idris,,_,,_,,_,,_,,_,374,5.0,Edo,22,17
18,_,30,_,,_,,_,,_,,_,,_,340,,,20,17
19,_,19,_,,_,,_,,_,,_,,_,306,,,18,17
20,_,14,Nat,,_,,_,,_,,_,,_,272,,,16,17
21,_,11,Kamal,,_,,_,,_,,_,,_,238,,,14,17
22,_,22,_,,_,,_,,_,,_,,_,204,,,12,17
23,_,27,_,,_,,_,,_,,_,,_,170,,,10,17
24,_,6,Shevy,,_,,_,,_,,_,,_,153,,,9,17
25,_,7,Steph,,_,,_,,_,,_,,_,136,,,8,17
26,_,26,_,,_,,_,,_,,_,,_,119,,,7,17
27,_,23,_,,_,,_,,_,,_,,_,102,,,6,17
28,_,10,Vadym,,_,,_,,_,,_,,_,85,,,5,17
29,_,15,Andy R,,_,,_,,_,,_,,_,68,,,4,17
30,_,18,_,,_,,_,,_,,_,,_,51,,,3,17
31,_,31,_,,_,,_,,_,,_,,_,34,,,2,17
32,_,2,Lionel,,_,,_,,_,,_,,_,17,,,1,17
