Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Greg,1,Greg,,Greg,,Greg,V,Greg,V,Greg,V,Greg,1700,,,100,17
2,Eric L,32,_,,_,,Steph,,Shevy,,Alejo,,Alejo,1445,14.0,Nat,85,17
3,Roeland,17,_,,Steph,V,Shevy,V,Alejo,V,Shevy,,Eric L,1275,8.0,Anna Z,75,17
4,Tom,16,_,,Anna Z,,Edo,,Eric L,,Eric L,V,Shevy,1139,5.0,Shevy,67,17
5,Shevy,9,Steph,,Shevy,V,Roeland,,Steph,,Edo,V,Edo,1037,1.0,Greg,61,17
6,Alejo,24,_,,Vadym,,Alejo,V,Edo,V,Kamal,,Kamal,935,4.0,Tom,55,17
7,Kamal,25,_,,Edo,V,Kamal,,Roeland,,Steph,,Roeland,867,,,51,17
8,Anna Z,8,Anna Z,,Tom,,Eric L,V,Kamal,V,Roeland,V,Steph,799,2.0,Eric L,47,17
9,Steph,5,Shevy,,Roeland,V,_,,Anna Z,V,Anna Z,,,731,7.0,Kamal,43,17
10,Richard,28,_,,Nat,,Anna Z,,Vadym,,Garen ,,,680,9.0,Steph,40,17
11,Garen ,21,_,,Garen ,,Vadym,V,Garen ,V,Vadym,V,Vadym,629,6.0,Alejo,37,17
12,Vadym,12,Vadym,,Alejo,V,Tom,,Richard,,Richard,,Richard,578,,,34,17
13,Edo,13,Edo,,Kamal,V,Nat,,_,,Tom,,Nat,527,10.0,Richard,31,17
14,Nat,20,_,,Richard,,Garen ,V,Tom,,Nat,V,Tom,476,13.0,Edo,28,17
15,_,29,_,,_,,Richard,,Nat,,_,,_,442,12.0,Vadym,26,17
16,_,4,Tom,,Eric L,,_,,_,,_,,_,408,11.0,Garen ,24,17
17,_,3,Roeland,,_,,_,,_,,_,,_,374,3.0,Roeland,22,17
18,_,30,_,,_,,_,,_,,_,,_,340,,,20,17
19,_,19,_,,_,,_,,_,,_,,_,306,,,18,17
20,_,14,Nat,,_,,_,,_,,_,,_,272,,,16,17
21,_,11,Garen ,,_,,_,,_,,_,,_,238,,,14,17
22,_,22,_,,_,,_,,_,,_,,_,204,,,12,17
23,_,27,_,,_,,_,,_,,_,,_,170,,,10,17
24,_,6,Alejo,,_,,_,,_,,_,,_,153,,,9,17
25,_,7,Kamal,,_,,_,,_,,_,,_,136,,,8,17
26,_,26,_,,_,,_,,_,,_,,_,119,,,7,17
27,_,23,_,,_,,_,,_,,_,,_,102,,,6,17
28,_,10,Richard,,_,,_,,_,,_,,_,85,,,5,17
29,_,15,_,,_,,_,,_,,_,,_,68,,,4,17
30,_,18,_,,_,,_,,_,,_,,_,51,,,3,17
31,_,31,_,,_,,_,,_,,_,,_,34,,,2,17
32,_,2,Eric L,,_,,_,,_,,_,,_,17,,,1,17
