Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Georgina,1,Georgina,,Georgina,,Georgina,V,Georgina,V,Georgina,,Greg,1200,1.0,Georgina,100,12
2,Greg,32,_,,_,,Alejo,,Anna Z,,Greg,V,Georgina,1020,2.0,Greg,85,12
3,Roeland,17,_,,Steph,,Kamal,,Darran,,Anna Z,,Darran,900,7.0,Adam,75,12
4,Anna Z,16,_,,Alejo,V,Anna Z,V,Greg,V,Darran,V,Anna Z,804,,,67,12
5,Kamal,9,Steph,,Kamal,,Roeland,,Alejo,V,Alejo,,Roeland,732,11.0,Nat,61,12
6,Darran,24,_,,_,,Darran,V,Kamal,,Roeland,V,Alejo,660,5.0,Kamal,55,12
7,Adam,25,_,,_,,Adam,,Roeland,V,Kamal,V,Kamal,612,9.0,Steph,51,12
8,Alejo,8,Alejo,,Anna Z,,Greg,V,Adam,,Adam,,Adam,564,8.0,Alejo,47,12
9,Steph,5,Kamal,,Roeland,,_,,Steph,,Steph,V,Steph,516,3.0,Roeland,43,12
10,Colin ,28,_,,_,,Steph,,_,,Nat,,Nat,480,10.0,Colin ,40,12
11,Nat,21,_,,Nat,,_,,Nat,V,_,,Colin ,444,6.0,Darran,37,12
12,_,12,_,,Darran,V,_,,Colin ,,Colin ,,_,408,4.0,Anna Z,34,12
13,_,13,_,,Adam,V,_,,_,,_,,_,372,,,31,12
14,_,20,_,,Colin ,,Nat,,_,,_,,_,336,,,28,12
15,_,29,_,,_,,Colin ,,_,,_,,_,312,,,26,12
16,_,4,Anna Z,,Greg,,_,,_,,_,,_,288,,,24,12
17,_,3,Roeland,,_,,_,,_,,_,,_,264,,,22,12
18,_,30,_,,_,,_,,_,,_,,_,240,,,20,12
19,_,19,_,,_,,_,,_,,_,,_,216,,,18,12
20,_,14,_,,_,,_,,_,,_,,_,192,,,16,12
21,_,11,Nat,,_,,_,,_,,_,,_,168,,,14,12
22,_,22,_,,_,,_,,_,,_,,_,144,,,12,12
23,_,27,_,,_,,_,,_,,_,,_,120,,,10,12
24,_,6,Darran,,_,,_,,_,,_,,_,108,,,9,12
25,_,7,Adam,,_,,_,,_,,_,,_,96,,,8,12
26,_,26,_,,_,,_,,_,,_,,_,84,,,7,12
27,_,23,_,,_,,_,,_,,_,,_,72,,,6,12
28,_,10,Colin ,,_,,_,,_,,_,,_,60,,,5,12
29,_,15,_,,_,,_,,_,,_,,_,48,,,4,12
30,_,18,_,,_,,_,,_,,_,,_,36,,,3,12
31,_,31,_,,_,,_,,_,,_,,_,24,,,2,12
32,_,2,Greg,,_,,_,,_,,_,,_,12,,,1,12
