Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Lionel,1,Lionel,,Lionel,,Lionel,V,Lionel,V,Lionel,,Greg,1000,2.0,Greg,100,10
2,Greg,32,_,,_,,Tom,,Georgina,,Greg,V,Lionel,850,5.0,Georgina,85,10
3,Anna Z,17,_,,_,,Georgina,V,Anna Z,,Georgina,,Anna Z,750,6.0,Kamal,75,10
4,Alejo,16,_,,Tom,,Alejo,,Greg,V,Anna Z,V,Georgina,670,7.0,Darran,67,10
5,Georgina,9,_,,Georgina,,Anna Z,V,Tom,V,Tom,,Darran,610,,,61,10
6,Kamal,24,_,,_,,Kamal,,Alejo,,Darran,V,Tom,550,4.0,Alejo,55,10
7,Darran,25,_,,_,,Darran,,Kamal,,Alejo,V,Alejo,510,8.0,Tom,51,10
8,Tom,8,Tom,,Alejo,,Greg,V,Darran,V,Kamal,,Kamal,470,3.0,Anna Z,47,10
9,_,5,Georgina,,Anna Z,,_,,_,,_,,_,430,,,43,10
10,_,28,_,,_,,_,,_,,_,,_,400,1.0,Lionel,40,10
11,_,21,_,,_,,_,,_,,_,,_,370,,,37,10
12,_,12,_,,Kamal,,_,,_,,_,,_,340,,,34,10
13,_,13,_,,Darran,,_,,_,,_,,_,310,,,31,10
14,_,20,_,,_,,_,,_,,_,,_,280,,,28,10
15,_,29,_,,_,,_,,_,,_,,_,260,,,26,10
16,_,4,Alejo,,Greg,,_,,_,,_,,_,240,,,24,10
17,_,3,Anna Z,,_,,_,,_,,_,,_,220,,,22,10
18,_,30,_,,_,,_,,_,,_,,_,200,,,20,10
19,_,19,_,,_,,_,V,_,,_,,_,180,,,18,10
20,_,14,_,,_,,_,,_,,_,,_,160,,,16,10
21,_,11,_,,_,,_,,_,,_,,_,140,,,14,10
22,_,22,_,,_,,_,,_,,_,,_,120,,,12,10
23,_,27,_,,_,,_,,_,,_,,_,100,,,10,10
24,_,6,Kamal,,_,,_,,_,,_,,_,90,,,9,10
25,_,7,Darran,,_,,_,,_,,_,,_,80,,,8,10
26,_,26,_,,_,,_,,_,,_,,_,70,,,7,10
27,_,23,_,,_,,_,,_,,_,,_,60,,,6,10
28,_,10,_,,_,,_,,_,,_,,_,50,,,5,10
29,_,15,_,,_,,_,,_,,_,,_,40,,,4,10
30,_,18,_,,_,,_,,_,,_,,_,30,,,3,10
31,_,31,_,,_,,_,,_,,_,,_,20,,,2,10
32,_,2,Greg,,_,,_,,_,,_,,_,10,,,1,10
