Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Alex A,1,Alex A,,Alex A,,Alex A,V,Alex A,V,Alex A,,Greg,1600,11.0,Adam,100,16
2,Greg,32,_,,_,,Vadym,,Alejo,,Greg,V,Alex A,1360,14.0,Martin,85,16
3,Pierre,17,_,,Kamal,,Georgina,,Pierre,,Alejo,V,Alejo,1200,3.0,Pierre,75,16
4,Alejo,16,_,,Vadym,V,Alejo,V,Greg,V,Pierre,,Pierre,1072,9.0,Kamal,67,16
5,Georgina,9,Kamal,,Georgina,V,Pierre,V,Vadym,,Georgina,,Andy H,976,5.0,Georgina,61,16
6,Anna Z,24,_,,Edo,,Anna Z,,Georgina,V,Andy H,V,Georgina,880,6.0,Anna Z,55,16
7,Amaury,25,_,,Richard,,Andy H,,Anna Z,,Vadym,,Anna Z,816,,,51,16
8,Vadym,8,Vadym,,Alejo,V,Greg,V,Andy H,V,Anna Z,V,Vadym,752,15.0,Tom,47,16
9,Kamal,5,Georgina,,Pierre,V,_,,Kamal,,Edo,V,Edo,688,8.0,Vadym,43,16
10,Andy H,28,_,,Martin,,Kamal,,Edo,V,Amaury,,Amaury,640,4.0,Alejo,40,16
11,Adam,21,_,,Adam,,Edo,V,Martin,,Kamal,V,Kamal,592,1.0,Alex A,37,16
12,Edo,12,Edo,,Anna Z,V,Richard,,Amaury,V,Martin,,Martin,544,13.0,Richard,34,16
13,Richard,13,Richard,,Amaury,,Martin,V,_,,Richard,V,Richard,496,2.0,Greg,31,16
14,Martin,20,_,,Andy H,V,Adam,,Richard,,Tom,,Tom,448,7.0,Amaury,28,16
15,Tom,29,_,,Tom,,Amaury,V,Adam,,_,,Adam,416,10.0,Andy H,26,16
16,_,4,Alejo,,Greg,V,Tom,,Tom,V,Adam,,_,384,12.0,Edo,24,16
17,_,3,Pierre,,_,,_,,_,,_,,_,352,,,22,16
18,_,30,_,,_,,_,,_,,_,,_,320,,,20,16
19,_,19,_,,_,,_,,_,,_,,_,288,,,18,16
20,_,14,Martin,,_,,_,,_,,_,,_,256,,,16,16
21,_,11,Adam,,_,,_,,_,,_,,_,224,,,14,16
22,_,22,_,,_,,_,,_,,_,,_,192,,,12,16
23,_,27,_,,_,,_,,_,,_,,_,160,,,10,16
24,_,6,Anna Z,,_,,_,,_,,_,,_,144,,,9,16
25,_,7,Amaury,,_,,_,,_,,_,,_,128,,,8,16
26,_,26,_,,_,,_,,_,,_,,_,112,,,7,16
27,_,23,_,,_,,_,,_,,_,,_,96,,,6,16
28,_,10,Andy H,,_,,_,,_,,_,,_,80,,,5,16
29,_,15,Tom,,_,,_,,_,,_,,_,64,,,4,16
30,_,18,_,,_,,_,,_,,_,,_,48,,,3,16
31,_,31,_,,_,,_,,_,,_,,_,32,,,2,16
32,_,2,Greg,,_,,_,,_,,_,,_,16,,,1,16
