Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Lionel,1,Lionel,,Lionel,V,Lionel,,Steph,,Darran,,Greg,1900,5.0,Andy H,100,19
2,Greg,32,_,,Haya,,Steph,V,Darran,V,Greg,V,Darran,1615,7.0,Adam,85,19
3,Anna Z,17,Eric H,,Steph,V,Tom,,Anna Z,,Steph,V,Steph,1425,15.0,Vadym,75,19
4,Darran,16,Haya,V,Martin,,Darran,V,Greg,V,Anna Z,,Anna Z,1273,8.0,Martin,67,19
5,Andy H,9,Steph,,Andy H,,Anna Z,V,Lionel,V,Lionel,V,Lionel,1159,10.0,Marinko,61,19
6,Sara,24,_,,Tom,V,Sara,,Tom,,Marinko,,Marinko,1045,6.0,Sara,55,19
7,Adam,25,_,,Colin,,Marinko,,Sara,,Tom,V,Tom,969,16.0,Haya,51,19
8,Martin,8,Martin,,Darran,V,Greg,V,Marinko,V,Sara,,Sara,893,,,47,19
9,Steph,5,Andy H,,Anna Z,V,Haya,V,Haya,,Andy H,,Garen ,817,4.0,Darran,43,19
10,Marinko,28,_,,Martin W,,Martin,,Andy H,V,Garen ,V,Andy H,760,9.0,Steph,40,19
11,Garen ,21,_,,Garen ,,Andy H,V,Garen ,V,Haya,,Vadym,703,17.0,Eric H,37,19
12,Tom,12,Tom,,Sara,V,Colin,,Vadym,,Vadym,V,Haya,646,18.0,Andy R,34,19
13,Colin,13,Colin,,Adam,,Martin W,,Martin,,Colin,V,Colin,589,1.0,Lionel,31,19
14,Martin W,20,_,,Marinko,V,Garen ,V,Colin,V,Martin W,,Martin W,532,11.0,Garen ,28,19
15,Vadym,29,_,,Vadym,,Adam,,Martin W,V,Martin,V,Martin,494,13.0,Colin,26,19
16,Haya,4,Darran,,Greg,V,Vadym,V,Adam,,Adam,,Adam,456,3.0,Anna Z,24,19
17,Eric H,3,Anna Z,,_,,Eric H,,Eric H,,Eric H,,Andy R,418,14.0,Martin W,22,19
18,Andy R,30,_,,Eric H,,_,,_,,Andy R,V,Eric H,380,2.0,Greg,20,19
19,_,19,_,,_,,_,,_,,_,,_,342,12.0,Tom,18,19
20,_,14,Martin W,,_,,_,,Andy R,,_,,_,304,,,16,19
21,_,11,Garen ,,_,,_,,_,,_,,_,266,,,14,19
22,_,22,_,,_,,_,,_,,_,,_,228,,,12,19
23,_,27,_,,_,,_,,_,,_,,_,190,,,10,19
24,_,6,Sara,,_,,Andy R,,_,,_,,_,171,,,9,19
25,_,7,Adam,,_,,_,,_,,_,,_,152,,,8,19
26,_,26,_,,_,,_,,_,,_,,_,133,,,7,19
27,_,23,_,,_,,_,,_,,_,,_,114,,,6,19
28,_,10,Marinko,,_,,_,,_,,_,,_,95,,,5,19
29,_,15,Vadym,V,_,,_,,_,,_,,_,76,,,4,19
30,_,18,Andy R,,_,,_,,_,,_,,_,57,,,3,19
31,_,31,_,,Andy R,,_,,_,,_,,_,38,,,2,19
32,_,2,Greg,,_,,_,,_,,_,,_,19,,,1,19
