Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Lionel,1,Lionel,,Lionel,,Lionel,,Alex TE,V,Alex TE,,Greg,1400,8.0,Alex TE,100,14
2,Tom,32,_,,_,,Alex TE,V,Anna Z,,Greg,V,Alex TE,1190,4.0,Anna Z,85,14
3,Greg,17,_,,Vadym,,Richard,,Greg,V,Anna Z,V,Anna Z,1050,10.0,Adam,75,14
4,Anna Z,16,_,,Alex TE,V,Anna Z,V,Adam,,Adam,,Adam,938,9.0,Vadym,67,14
5,Richard,9,Vadym,,Richard,V,Greg,V,Lionel,V,Lionel,V,Lionel,854,6.0,Martin,61,14
6,Martin,24,_,,Eric H,,Martin,,Richard,,Martin,,Martin,770,,,55,14
7,Steph,25,_,,_,,Adam,V,Martin,V,Richard,,Tom,714,5.0,Richard,51,14
8,Alex TE,8,Alex TE,,Anna Z,,Tom,,Tom,,Tom,V,Richard,658,3.0,Greg,47,14
9,Vadym,5,Richard,,Greg,,_,,Vadym,V,Vadym,V,Vadym,602,1.0,Lionel,43,14
10,Adam,28,_,,_,,Vadym,,Eric H,,Steph,,Steph,560,2.0,Tom,40,14
11,Andy R,21,_,,Andy R,,Eric H,,Andy R,,Eric H,,Andy R,518,12.0,Eric H,37,14
12,Eric H,12,Eric H,,Martin,V,_,,Steph,V,Andy R,V,Eric H,476,7.0,Steph,34,14
13,_,13,_,,Steph,,_,,_,,_,,_,434,11.0,Andy R,31,14
14,_,20,_,,Adam,V,Andy R,,_,,_,,_,392,,,28,14
15,_,29,_,,_,,Steph,,_,,_,,_,364,,,26,14
16,_,4,Anna Z,,Tom,,_,,_,,_,,_,336,,,24,14
17,_,3,Greg,,_,,_,,_,,_,,_,308,,,22,14
18,_,30,_,,_,,_,,_,,_,,_,280,,,20,14
19,_,19,_,,_,,_,,_,,_,,_,252,,,18,14
20,_,14,_,,_,,_,,_,,_,,_,224,,,16,14
21,_,11,Andy R,,_,,_,,_,,_,,_,196,,,14,14
22,_,22,_,,_,,_,,_,,_,,_,168,,,12,14
23,_,27,_,,_,,_,,_,,_,,_,140,,,10,14
24,_,6,Martin,,_,,_,,_,,_,,_,126,,,9,14
25,_,7,Steph,,_,,_,,_,,_,,_,112,,,8,14
26,_,26,_,,_,,_,,_,,_,,_,98,,,7,14
27,_,23,_,,_,,_,,_,,_,,_,84,,,6,14
28,_,10,Adam,,_,,_,,_,,_,,_,70,,,5,14
29,_,15,_,,_,,_,,_,,_,,_,56,,,4,14
30,_,18,_,,_,,_,,_,,_,,_,42,,,3,14
31,_,31,_,,_,,_,,_,,_,,_,28,,,2,14
32,_,2,Tom,,_,,_,,_,,_,,_,14,,,1,14
