Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Greg,1,Greg,,Greg,V,Greg,V,Greg,V,Greg,V,Greg,1800,#REF!,Adam,100,18
2,_,32,_,,_,,_,,_,,_,,_,1530,#REF!,Chrissy,85,18
3,_,17,_,V,_,,_,,_,,_,V,_,1350,#REF!,Richard,75,18
4,_,16,_,,_,V,_,V,_,V,_,,_,1206,#REF!,Greg,67,18
5,_,9,_,,_,V,_,V,_,,_,,_,1098,#REF!,Andy H,61,18
6,_,24,_,,_,,_,,_,V,_,V,_,990,#REF!,Charlie ,55,18
7,_,25,_,,_,,_,,_,,_,V,_,918,#REF!,Steph,51,18
8,_,8,_,,_,V,_,V,_,V,_,,_,846,#REF!,Tom,47,18
9,_,5,_,,_,V,_,,_,,_,V,_,774,#REF!,Colin ,43,18
10,_,28,_,,_,,_,V,_,V,_,,_,720,#REF!,Andy R,40,18
11,_,21,_,,_,,_,,_,,_,V,_,666,#REF!,Eric H,37,18
12,_,12,_,,_,V,_,V,_,V,_,,_,612,#REF!,Garen ,34,18
13,_,13,_,V,_,,_,,_,,_,,_,558,#REF!,Anna Z,31,18
14,_,20,_,,_,V,_,V,_,V,_,V,_,504,#REF!,#REF!,28,18
15,_,29,_,,_,V,_,,_,,_,,_,468,#REF!,Kamal,26,18
16,_,4,_,,_,,_,V,_,V,_,V,_,432,#REF!,Vadym,24,18
17,_,3,_,,_,,_,,_,,_,V,_,396,#REF!,Alejo,22,18
18,_,30,_,,_,,_,,_,V,_,,_,360,#REF!,#REF!,20,18
19,_,19,_,,_,,_,,_,V,_,,_,324,#REF!,Thea,18,18
20,_,14,_,V,_,,_,,_,,_,V,_,288,#REF!,Edo,16,18
21,_,11,_,,_,,_,,_,,_,,_,252,,,14,18
22,_,22,_,,_,,_,,_,,_,,_,216,,,12,18
23,_,27,_,,_,,_,,_,,_,,_,180,,,10,18
24,_,6,_,,_,,_,,_,,_,,_,162,,,9,18
25,_,7,_,,_,,_,,_,,_,,_,144,,,8,18
26,_,26,_,,_,,_,,_,,_,,_,126,,,7,18
27,_,23,_,,_,,_,,_,,_,,_,108,,,6,18
28,_,10,_,,_,,_,,_,,_,,_,90,,,5,18
29,_,15,_,V,_,,_,,_,,_,,_,72,,,4,18
30,_,18,_,,_,,_,,_,,_,,_,54,,,3,18
31,_,31,_,,_,,_,,_,,_,,_,36,,,2,18
32,_,2,_,,_,,_,,_,,_,,_,18,,,1,18
