Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Lionel,1,Lionel,,Lionel,,Lionel,V,Lionel,V,Lionel,V,Lionel,1600,1.0,Lionel,100,16
2,Amaury,32,_,,_,,Edo,,Greg,,Alex TE,,Alex TE,1360,4.0,Greg,85,16
3,Alejo,17,_,,Steph,,Vadym,,Kamal,,Greg,,Kamal,1200,10.0,Adam,75,16
4,Greg,16,_,,Edo,V,Greg,V,Alex TE,V,Kamal,V,Greg,1072,14.0,Eric H,67,16
5,Anna Z,9,Steph,,Anna Z,,Alejo,,Edo,V,Edo,,Alejo,976,,,61,16
6,Tom,24,_,,Vadym,V,Kamal,V,Vadym,,Alejo,V,Edo,880,5.0,Anna Z,55,16
7,Alex TE,25,_,,Chrissy,,Alex TE,V,Alejo,V,Vadym,,Amaury,816,,,51,16
8,Edo,8,Edo,,Greg,V,Amaury,,Amaury,,Amaury,V,Vadym,752,13.0,Chrissy,47,16
9,Steph,5,Anna Z,,Alejo,V,_,,Steph,V,Steph,V,Steph,688,6.0,Tom,43,16
10,Adam,28,_,,Eric H,,Steph,,Anna Z,,Eric H,,Eric H,640,12.0,Vadym,40,16
11,Kamal,21,_,,Kamal,V,Anna Z,V,Eric H,V,Anna Z,V,Anna Z,592,8.0,Edo,37,16
12,Vadym,12,Vadym,,Tom,,Chrissy,,Adam,,Adam,,Adam,544,9.0,Steph,34,16
13,Chrissy,13,Chrissy,,Alex TE,V,Eric H,V,_,,Chrissy,,Tom,496,11.0,Kamal,31,16
14,Eric H,20,_,,Adam,,Tom,,Chrissy,,Tom,V,Chrissy,448,7.0,Alex TE,28,16
15,_,29,_,,_,,Adam,,Tom,,_,,_,416,2.0,Amaury,26,16
16,_,4,Greg,,Amaury,,_,,_,,_,,_,384,3.0,Alejo,24,16
17,_,3,Alejo,,_,,_,,_,,_,,_,352,,,22,16
18,_,30,_,,_,,_,,_,,_,,_,320,,,20,16
19,_,19,_,,_,,_,,_,,_,,_,288,,,18,16
20,_,14,Eric H,,_,,_,,_,,_,,_,256,,,16,16
21,_,11,Kamal,,_,,_,,_,,_,,_,224,,,14,16
22,_,22,_,,_,,_,,_,,_,,_,192,,,12,16
23,_,27,_,,_,,_,,_,,_,,_,160,,,10,16
24,_,6,Tom,,_,,_,,_,,_,,_,144,,,9,16
25,_,7,Alex TE,,_,,_,,_,,_,,_,128,,,8,16
26,_,26,_,,_,,_,,_,,_,,_,112,,,7,16
27,_,23,_,,_,,_,,_,,_,,_,96,,,6,16
28,_,10,Adam,,_,,_,,_,,_,,_,80,,,5,16
29,_,15,_,,_,,_,,_,,_,,_,64,,,4,16
30,_,18,_,,_,,_,,_,,_,,_,48,,,3,16
31,_,31,_,,_,,_,,_,,_,,_,32,,,2,16
32,_,2,Amaury,,_,,_,,_,,_,,_,16,,,1,16
