Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Lionel,1,Lionel,,Lionel,V,Lionel,V,Lionel,V,Lionel,V,Lionel,2000,6.0,Adam,100,20
2,Alex TE,32,_,,Giles,,Vadym,,Alejo,,Alex TE,,Alex TE,1700,19.0,Chrissy,85,20
3,Tom,17,Giles,V,Vadym,V,Charlie ,,Amaury,,Alejo,V,Alejo,1500,1.0,Lionel,75,20
4,Andy H,16,Marinko,,Colin ,,Alejo,V,Alex TE,V,Amaury,,Amaury,1340,17.0,Giles,67,20
5,Greg,9,Vadym,,Greg,,Tom,,Vadym,V,Vadym,,Anna Z,1220,10.0,Martin H,61,20
6,Adam,24,_,,Charlie ,V,Amaury,V,Charlie ,,Anna Z,V,Vadym,1100,7.0,Anna Z,55,20
7,Anna Z,25,_,,Alejo,V,Anna Z,,Tom,,Charlie ,V,Charlie ,1020,11.0,Amaury,51,20
8,Colin ,8,Colin ,,Andy H,,Alex TE,V,Anna Z,V,Tom,,Tom,940,16.0,Marinko,47,20
9,Vadym,5,Greg,,Tom,V,Giles,,Colin ,,Greg,V,Greg,860,12.0,Charlie ,43,20
10,Martin H,28,_,,,,Colin ,V,Greg,V,Kamal,,Kamal,800,5.0,Greg,40,20
11,Amaury,21,_,,Amaury,V,Greg,V,,,Colin ,V,Colin ,740,4.0,Andy H,37,20
12,Charlie ,12,Charlie ,,Adam,,Andy H,,Kamal,V,,,,680,3.0,Tom,34,20
13,Alejo,13,Alejo,V,Anna Z,V,,V,Giles,,Andy H,V,Andy H,620,8.0,Colin ,31,20
14,Andy R,20,Eric H,,Martin H,,Adam,,Andy H,V,Martin H,,Martin H,560,15.0,Kamal,28,20
15,Kamal,29,_,,Kamal,,Martin H,,Adam,,Giles,V,Giles,520,14.0,Andy R,26,20
16,Marinko,4,Andy H,,Alex TE,V,Kamal,V,Martin H,V,Adam,,Adam,480,20.0,Eric H,24,20
17,Giles,3,Tom,,_,,Marinko,,Marinko,V,Marinko,,Nat ,440,18.0,Nat ,22,20
18,Nat ,30,_,,Marinko,,_,,Eric H,,Nat ,V,Marinko,400,9.0,Vadym,20,20
19,Chrissy,19,Chrissy,V,_,,_,,,,Eric H,V,Eric H,360,2.0,Alex TE,18,20
20,Eric H,14,Andy R,,_,,Eric H,,Nat ,V,,,,320,13.0,Alejo,16,20
21,_,11,Amaury,,_,,,,_,,_,,_,280,,,14,20
22,_,22,_,,_,,_,,_,,_,,_,240,,,12,20
23,_,27,_,,Eric H,,_,,_,,_,,_,200,,,10,20
24,_,6,Adam,,_,,Nat ,,_,,_,,_,180,,,9,20
25,_,7,Anna Z,,_,,_,,_,,_,,_,160,,,8,20
26,_,26,_,,,,_,,_,,_,,_,140,,,7,20
27,_,23,_,,_,,_,,_,,_,,_,120,,,6,20
28,_,10,Martin H,,_,,_,,_,,_,,_,100,,,5,20
29,_,15,Kamal,V,_,,_,,_,,_,,_,80,,,4,20
30,_,18,Nat ,,_,,_,,_,,_,,_,60,,,3,20
31,_,31,_,,Nat ,,_,,_,,_,,_,40,,,2,20
32,_,2,Alex TE,,_,,_,,_,,_,,_,20,,,1,20
