Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Rudi,1,Rudi,,Rudi,V,Rudi,V,Rudi,V,Rudi,,,2400,2.0,Greg,100,24
2,Greg,32,_,,Alejo,,Alex TE,,Charlie ,,Greg,,,2040,,,85,24
3,Lionel,17,Andy H,,Alex TE,V,Charlie ,V,Lionel,,Charlie ,,Lionel,1800,3.0,Lionel,75,24
4,Roeland,16,Alejo,V,Garen ,,Roeland,,Greg,V,Lionel,V,Charlie ,1608,10.0,Richard,67,24
5,Kamal,9,Alex TE,,Kamal,,Lionel,V,Alex TE,,Roeland,,Colin ,1464,13.0,Shevy,61,24
6,Stef,24,_,,Charlie ,V,Stef,,Roeland,V,Colin ,V,Roeland,1320,21.0,Nat,55,24
7,Colin ,25,_,,Shevy,,Colin ,,Stef,,Alex TE,,,1224,1.0,Rudi,51,24
8,Garen ,8,Garen ,,Roeland,V,Greg,V,Colin ,V,Stef,,,1128,17.0,Andy H,47,24
9,Alex TE,5,Kamal,,Lionel,V,Alejo,V,Alejo,V,Alejo,,,1032,20.0,Marinko,43,24
10,Richard,28,_,,Max,,Garen ,,Kamal,,Richard,,,960,4.0,Roeland,40,24
11,Edo,21,Nat,,Edo,,Kamal,V,Max,,Kamal,V,Kamal,888,12.0,Charlie ,37,24
12,Charlie ,12,Charlie ,V,Stef,V,Shevy,,Richard,V,Max,,Max,816,22.0,Eric H,34,24
13,Shevy,13,Shevy,V,Colin ,V,Max,V,Garen ,V,Garen ,,Edo,744,11.0,Edo,31,24
14,Max,20,Marinko,,Richard,,Edo,,Shevy,,Edo,V,Garen ,672,15.0,Etienne,28,24
15,Etienne,29,_,,Vadym,,Richard,V,Edo,V,Shevy,,Vadym,624,7.0,Colin ,26,24
16,Alejo,4,Roeland,,Greg,V,Vadym,,Vadym,,Vadym,V,Shevy,576,,,24,24
17,Andy H,3,Lionel,,_,,Andy H,,Andy H,V,Andy H,,,528,14.0,Max,22,24
18,Vadym,30,_,,Andy H,,_,,Marinko,,Etienne,,,480,9.0,Alex TE,20,24
19,Andy R,19,Andy R,,_,,Nat,,Andy R,,Marinko,,,432,6.0,Stef,18,24
20,Marinko,14,Max,V,_,,Marinko,V,Etienne,V,Andy R,,,384,5.0,Kamal,16,24
21,Nat,11,Edo,V,_,,Andy R,V,_,,Nat,,,336,16.0,Alejo,14,24
22,Eric H,22,Eric H,,Nat,,Eric H,,Nat,,Eric H,,,288,8.0,Garen ,12,24
23,_,27,_,,Marinko,,_,,Eric H,,_,,_,240,19.0,Andy R,10,24
24,_,6,Stef,,_,,Etienne,,_,,_,,_,216,18.0,Vadym,9,24
25,_,7,Colin ,,_,,_,,_,,_,,_,192,,,8,24
26,_,26,_,,Andy R,,_,,_,,_,,_,168,,,7,24
27,_,23,_,,Eric H,,_,,_,,_,,_,144,,,6,24
28,_,10,Richard,,_,,_,,_,,_,,_,120,,,5,24
29,_,15,Etienne,,_,,_,,_,,_,,_,96,,,4,24
30,_,18,Vadym,V,_,,_,,_,,_,,_,72,,,3,24
31,_,31,_,,Etienne,,_,,_,,_,,_,48,,,2,24
32,_,2,Greg,,_,,_,,_,,_,,_,24,,,1,24
