Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Rudi,1,Rudi,,Rudi,V,Rudi,V,Rudi,V,Rudi,,,2500,3.0,Greg,100,25
2,Max T,32,_,,Andy H,,Lionel,,Edo,,Greg,,,2125,5.0,Alex TE,85,25
3,Greg,17,Andy H,V,Tom,,Alex TE,,Greg,V,Edo,,,1875,15.0,Vadym,75,25
4,Lorenzo,16,Colin ,,Lionel,V,Edo,V,Michael G,,Michael G,,,1675,19.0,Andy R,67,25
5,Alex TE,9,Tom,,Alex TE,V,Greg,V,Lionel,,,,,1525,7.0,Michael G,61,25
6,Steph,24,_,,Alejo,,Charlie ,,Alex TE,,,,,1375,,,55,25
7,Michael G,25,_,,Edo,V,Michael G,V,Charlie ,,,,,1275,,,51,25
8,Lionel,8,Lionel,,Lorenzo,,Kelvin,,Kelvin,,,,,1175,8.0,Lionel,47,25
9,Tom,5,Alex TE,,Greg,V,Andy H,,,,,,,1075,9.0,Tom,43,25
10,Darran,28,_,,Roeland,,Tom,,,,,,,1000,14.0,Roeland,40,25
11,Charlie ,21,Marinko,,Charlie ,V,Alejo,,,,,,,925,22.0,Giles,37,25
12,Alejo,12,Alejo,V,Steph,,Lorenzo,,,,,,,850,18.0,Kelvin,34,25
13,Edo,13,Edo,V,Michael G,V,Roeland,,,,,,,775,,,31,25
14,Roeland,20,Eric H,,Darran,,Steph,,,,,,,700,,,28,25
15,Vadym,29,_,,Kelvin,V,Darran,,,,,,,650,,,26,25
16,Colin ,4,Lorenzo,,Max T,,Max T,,,,,,,600,2.0,Max T,24,25
17,Andy H,3,Greg,,_,,Colin ,,Colin ,,,,,550,4.0,Lorenzo,22,25
18,Kelvin,30,_,,Colin ,,_,,,,,,,500,13.0,Edo,20,25
19,Andy R,19,Andy R,,_,,Marinko,,,,,,,450,12.0,Alejo,18,25
20,Eric H,14,Roeland,V,_,,Eric H,,,,,,,400,17.0,Andy H,16,25
21,Marinko,11,Charlie ,V,_,,Andy R,,_,,,,,350,23.0,Denis,14,25
22,Giles,22,Giles,,Marinko,,Giles,,,,,,,300,,,12,25
23,Denis,27,_,,Eric H,,Denis,,,,_,,,250,1.0,Rudi,10,25
24,_,6,Steph,,_,,Vadym,,,,,,_,225,10.0,Darran,9,25
25,_,7,Michael G,,_,,_,,_,,_,,_,200,6.0,Steph,8,25
26,_,26,_,,Andy R,,_,,_,,_,,_,175,11.0,Charlie ,7,25
27,_,23,Denis,,Giles,,_,,_,,_,,_,150,16.0,Colin ,6,25
28,_,10,Darran,V,_,,_,,_,,_,,_,125,21.0,Marinko,5,25
29,_,15,Vadym,,_,,_,,_,,_,,_,100,20.0,Eric H,4,25
30,_,18,Kelvin,V,Denis,,_,,_,,_,,_,75,,,3,25
31,_,31,_,,Vadym,,_,,_,,_,,_,50,,,2,25
32,_,2,Max T,,_,,_,,_,,_,,_,25,,,1,25
