Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Georgina,1,Georgina,,Georgina,,Georgina,,,,,,,900,1.0,Georgina,100,9
2,Giles,32,_,,_,,,,,,,,,765,6.0,Nat,85,9
3,Eric H,17,_,,Marinko,,Colin ,,,,,,,675,5.0,Colin ,75,9
4,Andy R,16,_,,Denis,,Andy R,,,,,,,603,9.0,Marinko,67,9
5,Colin ,9,Marinko,,Colin ,,Eric H,,,,,,,549,3.0,Eric H,61,9
6,Nat,24,_,,_,,Nat,,,,,,,495,4.0,Andy R,55,9
7,Vadym,25,_,,_,,Vadym,,,,,,,459,2.0,Giles,51,9
8,Denis,8,Denis,,Andy R,,Giles,,,,,,,423,7.0,Vadym,47,9
9,Marinko,5,Colin ,,Eric H,,_,,,,,,,387,8.0,Denis,43,9
10,_,28,_,,_,,,,_,,_,,_,360,,,40,9
11,_,21,_,,_,,_,,_,,_,,_,333,,,37,9
12,_,12,_,,Nat,,_,,_,,_,,_,306,,,34,9
13,_,13,_,,Vadym,,_,,_,,_,,_,279,,,31,9
14,_,20,_,,_,,_,,_,,_,,_,252,,,28,9
15,_,29,_,,_,,_,,_,,_,,_,234,,,26,9
16,_,4,Andy R,,Giles,,_,,_,,_,,_,216,,,24,9
17,_,3,Eric H,,_,,_,,_,,_,,_,198,,,22,9
18,_,30,_,,_,,_,,_,,_,,_,180,,,20,9
19,_,19,_,,_,,_,,_,,_,,_,162,,,18,9
20,_,14,_,,_,,_,,_,,_,,_,144,,,16,9
21,_,11,_,,_,,_,,_,,_,,_,126,,,14,9
22,_,22,_,,_,,_,,_,,_,,_,108,,,12,9
23,_,27,_,,_,,_,,_,,_,,_,90,,,10,9
24,_,6,Nat,,_,,_,,_,,_,,_,81,,,9,9
25,_,7,Vadym,,_,,_,,_,,_,,_,72,,,8,9
26,_,26,_,,_,,_,,_,,_,,_,63,,,7,9
27,_,23,_,,_,,_,,_,,_,,_,54,,,6,9
28,_,10,_,,_,,_,,_,,_,,_,45,,,5,9
29,_,15,_,,_,,_,,_,,_,,_,36,,,4,9
30,_,18,_,,_,,_,,_,,_,,_,27,,,3,9
31,_,31,_,,_,,_,,_,,_,,_,18,,,2,9
32,_,2,Giles,,_,,_,,_,,_,,_,9,,,1,9
