Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Darran,1,Darran,,Darran,,Darran,V,Darran,V,Darran,V,Darran,1300,10.0,Giles,100,13
2,Kamal,32,_,,_,,John H,,Colin ,,Shevy,,Shevy,1105,7.0,Richard,85,13
3,Shevy,17,_,,John H,V,Colin ,V,Shevy,V,Colin ,,Kamal,975,8.0,Martin H,75,13
4,Marinko,16,_,,Martin H,,Marinko,,Kamal,,Kamal,V,Colin ,871,3.0,Shevy,67,13
5,Colin ,9,John H,,Colin ,V,Shevy,V,John H,V,John H,V,John H,793,4.0,Marinko,61,13
6,Vadym,24,_,,Andy R,,Vadym,,Marinko,,Richard,,Richard,715,9.0,John H,55,13
7,Richard,25,_,,Eric H,,Richard,,Vadym,,Marinko,,Vadym,663,6.0,Vadym,51,13
8,Martin H,8,Martin H,,Marinko,V,Kamal,V,Richard,V,Vadym,V,Marinko,611,13.0,Eric H,47,13
9,John H,5,Colin ,,Shevy,,_,,Martin H,V,Martin H,V,Martin H,559,5.0,Colin ,43,13
10,Giles,28,_,,_,,Martin H,,Andy R,,Giles,,Giles,520,1.0,Darran,40,13
11,Denis D,21,_,,Denis D,,Andy R,V,Denis D,,Andy R,V,Andy R,481,12.0,Andy R,37,13
12,Andy R,12,Andy R,,Vadym,V,Eric H,,Giles,V,Denis D,,Denis D,442,11.0,Denis D,34,13
13,Eric H,13,Eric H,,Richard,V,_,,_,,Eric H,,Eric H,403,2.0,Kamal,31,13
14,_,20,_,,Giles,,Denis D,,Eric H,,_,,_,364,,,28,13
15,_,29,_,,_,,Giles,,_,,_,,_,338,,,26,13
16,_,4,Marinko,,Kamal,,_,,_,,_,,_,312,,,24,13
17,_,3,Shevy,,_,,_,,_,,_,,_,286,,,22,13
18,_,30,_,,_,,_,,_,,_,,_,260,,,20,13
19,_,19,_,,_,,_,,_,,_,,_,234,,,18,13
20,_,14,_,,_,,_,,_,,_,,_,208,,,16,13
21,_,11,Denis D,,_,,_,,_,,_,,_,182,,,14,13
22,_,22,_,,_,,_,,_,,_,,_,156,,,12,13
23,_,27,_,,_,,_,,_,,_,,_,130,,,10,13
24,_,6,Vadym,,_,,_,,_,,_,,_,117,,,9,13
25,_,7,Richard,,_,,_,,_,,_,,_,104,,,8,13
26,_,26,_,,_,,_,,_,,_,,_,91,,,7,13
27,_,23,_,,_,,_,,_,,_,,_,78,,,6,13
28,_,10,Giles,,_,,_,,_,,_,,_,65,,,5,13
29,_,15,_,,_,,_,,_,,_,,_,52,,,4,13
30,_,18,_,,_,,_,,_,,_,,_,39,,,3,13
31,_,31,_,,_,,_,,_,,_,,_,26,,,2,13
32,_,2,Kamal,,_,,_,,_,,_,,_,13,,,1,13
