Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Pierre,1,Pierre,,Pierre,,Pierre,V,Pierre,V,Pierre,,Alejo,1400,,,100,14
2,Greg,32,_,,_,,Anna Z,,Jon H,,Alejo,V,Pierre,1190,1.0,Pierre,85,14
3,Max T,17,_,,Anna Z,V,Nat,,Steph,,Jon H,V,Jon H,1050,3.0,Max T,75,14
4,Jon H,16,_,,Martin H,,Jon H,V,Alejo,V,Steph,,Steph,938,8.0,Martin H,67,14
5,Etienne,9,Anna Z,,Etienne,,Max T,,Anna Z,V,Anna Z,,Greg,854,2.0,Greg,61,14
6,Steph,24,_,,Nat,V,Steph,V,Nat,,Greg,V,Anna Z,770,6.0,Steph,55,14
7,Alejo,25,_,,_,,Alejo,V,Max T,,Nat,V,Nat,714,12.0,Nat,51,14
8,Martin H,8,Martin H,,Jon H,,Greg,,Greg,V,Max T,,Max T,658,9.0,Anna Z,47,14
9,Anna Z,5,Etienne,,Max T,,_,,Martin H,,Etienne,V,Etienne,602,,,43,14
10,Eric H,28,_,,_,,Martin H,,Etienne,V,pablo,,pablo,560,4.0,Jon H,40,14
11,pablo,21,_,,pablo,,Etienne,,pablo,V,Martin H,V,Martin H,518,10.0,Eric H,37,14
12,Nat,12,Nat,,Steph,V,_,,Eric H,,Eric H,,Eric H,476,5.0,Etienne,34,14
13,_,13,_,,Alejo,V,_,,_,,_,,_,434,11.0,pablo,31,14
14,_,20,_,,Eric H,,pablo,,_,,_,,_,392,7.0,Alejo,28,14
15,_,29,_,,_,,Eric H,,_,,_,,_,364,,,26,14
16,_,4,Jon H,,Greg,,_,,_,,_,,_,336,,,24,14
17,_,3,Max T,,_,,_,,_,,_,,_,308,,,22,14
18,_,30,_,,_,,_,,_,,_,,_,280,,,20,14
19,_,19,_,,_,,_,,_,,_,,_,252,,,18,14
20,_,14,_,,_,,_,,_,,_,,_,224,,,16,14
21,_,11,pablo,,_,,_,,_,,_,,_,196,,,14,14
22,_,22,_,,_,,_,,_,,_,,_,168,,,12,14
23,_,27,_,,_,,_,,_,,_,,_,140,,,10,14
24,_,6,Steph,,_,,_,,_,,_,,_,126,,,9,14
25,_,7,Alejo,,_,,_,,_,,_,,_,112,,,8,14
26,_,26,_,,_,,_,,_,,_,,_,98,,,7,14
27,_,23,_,,_,,_,,_,,_,,_,84,,,6,14
28,_,10,Eric H,,_,,_,,_,,_,,_,70,,,5,14
29,_,15,_,,_,,_,,_,,_,,_,56,,,4,14
30,_,18,_,,_,,_,,_,,_,,_,42,,,3,14
31,_,31,_,,_,,_,,_,,_,,_,28,,,2,14
32,_,2,Greg,,_,,_,,_,,_,,_,14,,,1,14
