Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Greg,1,Greg,,Greg,,Greg,V,Greg,V,Greg,,Alejo,1700,3.0,Max T,100,17
2,Alejo,32,_,,_,,Pablo,,Garen ,,Alejo,V,Greg,1445,1.0,Greg,85,17
3,Max T,17,_,,Pablo,V,Alex TE,,Max T,,Garen ,,Max T,1275,7.0,Vadym,75,17
4,Garen ,16,_,,Richard,,Garen ,V,Alejo,V,Max T,V,Garen ,1139,8.0,Richard,67,17
5,Alex TE,9,Pablo,,Alex TE,V,Max T,V,Pablo,V,Pablo,,Vadym,1037,10.0,Tom,61,17
6,Kamal,24,_,,MARINKO,,Colin ,,Alex TE,,Vadym,V,Pablo,935,,,55,17
7,Vadym,25,_,,Nat,,Vadym,,Colin ,,Alex TE,V,Alex TE,867,,,51,17
8,Richard,8,Richard,,Garen ,V,Alejo,V,Vadym,V,Colin ,,Colin ,799,4.0,Garen ,47,17
9,Pablo,5,Alex TE,,Max T,,_,,Richard,V,Richard,V,Richard,731,2.0,Alejo,43,17
10,Tom,28,_,,_,,Richard,,MARINKO,,Tom,,Tom,680,13.0,Nat,40,17
11,Colin ,21,_,,Colin ,V,MARINKO,V,Kamal,,MARINKO,V,MARINKO,629,11.0,Colin ,37,17
12,MARINKO,12,MARINKO,,Kamal,,Nat,,Tom,V,Kamal,,Kamal,578,,,34,17
13,Nat,13,Nat,,Vadym,V,_,,_,,Nat,,Nat,527,6.0,Kamal,31,17
14,_,20,_,,Tom,,Kamal,,Nat,,_,,_,476,9.0,Pablo,28,17
15,_,29,_,,_,,Tom,,_,,_,,_,442,,,26,17
16,_,4,Garen ,,Alejo,,_,,_,,_,,_,408,5.0,Alex TE,24,17
17,_,3,Max T,,_,,_,,_,,_,,_,374,12.0,MARINKO,22,17
18,_,30,_,,_,,_,,_,,_,,_,340,,,20,17
19,_,19,_,,_,,_,,_,,_,,_,306,,,18,17
20,_,14,_,,_,,_,,_,,_,,_,272,,,16,17
21,_,11,Colin ,,_,,_,,_,,_,,_,238,,,14,17
22,_,22,_,,_,,_,,_,,_,,_,204,,,12,17
23,_,27,_,,_,,_,,_,,_,,_,170,,,10,17
24,_,6,Kamal,,_,,_,,_,,_,,_,153,,,9,17
25,_,7,Vadym,,_,,_,,_,,_,,_,136,,,8,17
26,_,26,_,,_,,_,,_,,_,,_,119,,,7,17
27,_,23,_,,_,,_,,_,,_,,_,102,,,6,17
28,_,10,Tom,,_,,_,,_,,_,,_,85,,,5,17
29,_,15,_,,_,,_,,_,,_,,_,68,,,4,17
30,_,18,_,,_,,_,,_,,_,,_,51,,,3,17
31,_,31,_,,_,,_,,_,,_,,_,34,,,2,17
32,_,2,Alejo,,_,,_,,_,,_,,_,17,,,1,17
