Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Lionel,1,Lionel,,Lionel,V,Lionel,V,Lionel,V,Lionel,V,Lionel,1900,2.0,Pierre,100,19
2,Pierre,32,_,,Gautam,,Steph,,Edo,,Greg,,Greg,1615,11.0,Eugene,85,19
3,Greg,17,Gautam,V,Steph,V,Tom,,Greg,V,Edo,,Pierre,1425,18.0,Eric H,75,19
4,Amaury,16,Chrissy,,Alejo,,Edo,V,Pierre,,Pierre,V,Edo,1273,4.0,Amaury,67,19
5,Tom,9,Steph,,Tom,V,Greg,V,Steph,V,Steph,V,Steph,1159,15.0,Adam,61,19
6,Maxie,24,_,,Colin ,,Maxie,,Tom,,Vadym,,Vadym,1045,16.0,Chrissy,55,19
7,Vadym,25,_,,Edo,V,Vadym,,Maxie,,Tom,V,Tom,969,6.0,Maxie,51,19
8,Alejo,8,Alejo,,Amaury,,Pierre,V,Vadym,V,Maxie,,Maxie,893,12.0,Colin ,47,19
9,Steph,5,Tom,,Greg,V,Gautam,,Alejo,,Colin ,,Anna Z,817,9.0,Steph,43,19
10,Anna Z,28,_,,Pablo,,Alejo,V,Colin ,V,Anna Z,V,Colin ,760,7.0,Vadym,40,19
11,Eugene,21,_,,Eugene,,Colin ,V,Eugene,,Alejo,,Eugene,703,1.0,Lionel,37,19
12,Colin ,12,Colin ,,Maxie,V,Amaury,,Anna Z,V,Eugene,V,Alejo,646,19.0,Denis D,34,19
13,Edo,13,Edo,,Vadym,V,Pablo,,Gautam,,Amaury,V,Amaury,589,3.0,Greg,31,19
14,Pablo,20,_,,Anna Z,,Eugene,V,Amaury,V,Pablo,,Pablo,532,17.0,Gautam,28,19
15,Adam,29,_,,Eric H,,Anna Z,V,Pablo,V,Gautam,V,Gautam,494,13.0,Edo,26,19
16,Chrissy,4,Amaury,,Pierre,V,Eric H,,Eric H,,Eric H,,Eric H,456,8.0,Alejo,24,19
17,Gautam,3,Greg,,_,,Chrissy,,Chrissy,,Chrissy,,Denis D,418,10.0,Anna Z,22,19
18,Eric H,30,_,,Chrissy,,_,,_,,Denis D,V,Chrissy,380,5.0,Tom,20,19
19,Denis D,19,Denis D,,_,,_,,Denis D,V,_,,Adam,342,14.0,Pablo,18,19
20,_,14,Pablo,V,_,,_,,Adam,,Adam,,_,304,,,16,19
21,_,11,Eugene,,_,,Denis D,,_,,_,,_,266,,,14,19
22,_,22,_,,_,,_,,_,,_,,_,228,,,12,19
23,_,27,_,,_,,_,,_,,_,,_,190,,,10,19
24,_,6,Maxie,,_,,Adam,,_,,_,,_,171,,,9,19
25,_,7,Vadym,,_,,_,,_,,_,,_,152,,,8,19
26,_,26,_,,Denis D,,_,,_,,_,,_,133,,,7,19
27,_,23,_,,_,,_,,_,,_,,_,114,,,6,19
28,_,10,Anna Z,,_,,_,,_,,_,,_,95,,,5,19
29,_,15,Adam,,_,,_,,_,,_,,_,76,,,4,19
30,_,18,Eric H,V,_,,_,,_,,_,,_,57,,,3,19
31,_,31,_,,Adam,,_,,_,,_,,_,38,,,2,19
32,_,2,Pierre,,_,,_,,_,,_,,_,19,,,1,19
