Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Lionel,1,Lionel,,Lionel,V,Lionel,V,Lionel,V,Lionel,,Garen ,2300,22.0,Kevin,100,23
2,Tom,32,_,,Vadym,,Pierre,,Greg,,Garen ,V,Lionel,1955,8.0,Pierre,85,23
3,Anna Z,17,Colin ,,Maxie,,Edo,,James O,,Greg,V,Greg,1725,1.0,Lionel,75,23
4,Greg,16,Vadym,V,Pierre,V,Greg,V,Garen ,V,James O,,James O,1541,11.0,James O,67,23
5,Richard R,9,Maxie,,Richard R,,Anna Z,,Pierre,,Edo,,Anna Z,1403,3.0,Anna Z,61,23
6,Alejo,24,_,,Edo,V,James O,V,Edo,V,Anna Z,V,Edo,1265,20.0,Nat,55,23
7,Steph,25,_,,Etienne,,Garen ,V,Anna Z,V,Pierre,,Tom,1173,5.0,Richard R,51,23
8,Pierre,8,Pierre,,Greg,V,Tom,,Tom,,Tom,V,Pierre,1081,9.0,Maxie,47,23
9,Maxie,5,Richard R,,Anna Z,V,Vadym,V,Vadym,,Etienne,,Steph,989,14.0,Agnese ,43,23
10,Garen ,28,_,,Agnese ,,Maxie,,Etienne,V,Steph,V,Etienne,920,15.0,Martin H,40,23
11,James O,21,Gautam,,James O,V,Richard R,,Alejo,,Vadym,,Alejo,851,2.0,Tom,37,23
12,Edo,12,Edo,V,Alejo,,Etienne,V,Steph,V,Alejo,V,Vadym,782,16.0,Vadym,34,23
13,Etienne,13,Etienne,V,Steph,,Agnese ,,Maxie,,Richard R,V,Richard R,713,7.0,Steph,31,23
14,Agnese ,20,Nat,,Garen ,V,Alejo,V,Richard R,V,Pablo,,Pablo,644,19.0,Pat,28,23
15,Martin H,29,_,,Pablo,,Steph,V,Agnese ,,Maxie,V,Maxie,598,21.0,Gautam,26,23
16,Vadym,4,Greg,,Tom,V,Pablo,,Pablo,V,Agnese ,,Agnese ,552,6.0,Alejo,24,23
17,Colin ,3,Anna Z,,_,,Colin ,,Colin ,V,Colin ,,Pat,506,13.0,Etienne,22,23
18,Pablo,30,_,,Colin ,,_,,Gautam,,Pat,V,Colin ,460,10.0,Garen ,20,23
19,Pat,19,Pat,,_,,Gautam,V,Pat,V,Gautam,,Martin H,414,4.0,Greg,18,23
20,Nat,14,Agnese ,V,_,,Nat,,Martin H,,Martin H,V,Gautam,368,18.0,Pablo,16,23
21,Gautam,11,James O,V,_,,Pat,V,_,,Nat,,Eric H,322,17.0,Colin ,14,23
22,Kevin,22,Kevin,,Gautam,,Kevin,,Nat,,Eric H,V,Nat,276,23.0,Eric H,12,23
23,Eric H,27,_,,Nat,,Eric H,,Kevin,,_,V,Kevin,230,12.0,Edo,10,23
24,_,6,Alejo,,_,,Martin H,V,Eric H,V,Kevin,,_,207,,,9,23
25,_,7,Steph,,_,,_,,_,,_,,_,184,,,8,23
26,_,26,_,,Pat,,_,,_,,_,,_,161,,,7,23
27,_,23,Eric H,,Kevin,,_,,_,,_,,_,138,,,6,23
28,_,10,Garen ,V,_,,_,,_,,_,,_,115,,,5,23
29,_,15,Martin H,,_,,_,,_,,_,,_,92,,,4,23
30,_,18,Pablo,V,Eric H,,_,,_,,_,,_,69,,,3,23
31,_,31,_,,Martin H,,_,,_,,_,,_,46,,,2,23
32,_,2,Tom,,_,,_,,_,,_,,_,23,,,1,23
