Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Lionel,1,Lionel,,Lionel,V,Lionel,V,Lionel,,Alex A,V,Alex A,1800,17.0,Nat,100,18
2,Tom,32,_,,Richard B,,Anna Z,,Alex A,V,Greg,,Greg,1530,6.0,Vadym,85,18
3,Greg,17,Nat,,Steph,,Pierre,,Greg,V,Lionel,V,Lionel,1350,5.0,Pierre,75,18
4,Alex A,16,Richard B,V,Anna Z,V,Alex A,V,Tom,,Tom,,Tom,1206,16.0,Richard B,67,18
5,Pierre,9,Steph,,Pierre,V,Greg,V,Anna Z,,Pierre,,Vadym,1098,3.0,Greg,61,18
6,Vadym,24,_,,Darran,,Vadym,,Pierre,V,Vadym,V,Pierre,990,14.0,Chrissy,55,18
7,Roeland,25,_,,Colin ,,Roeland,,Vadym,V,Anna Z,,Roeland,918,2.0,Tom,51,18
8,Anna Z,8,Anna Z,,Alex A,V,Tom,V,Roeland,,Roeland,V,Anna Z,846,8.0,Anna Z,47,18
9,Steph,5,Pierre,,Greg,V,Richard B,,Steph,,Colin ,V,Colin ,774,7.0,Roeland,43,18
10,Pablo,28,_,,Chrissy,,Steph,V,Colin ,V,Vincent,,Vincent,720,18.0,Eric H,40,18
11,Vincent,21,_,,Vincent,,Darran,,Vincent,V,Steph,,Pablo,666,11.0,Vincent,37,18
12,Darran,12,Darran,,Vadym,V,Colin ,V,Pablo,,Pablo,V,Steph,612,9.0,Steph,34,18
13,Colin ,13,Colin ,,Roeland,V,Chrissy,,Richard B,,Darran,V,Darran,558,10.0,Pablo,31,18
14,Chrissy,20,_,,Pablo,,Vincent,V,Darran,V,Adam,,Adam,504,13.0,Colin ,28,18
15,Adam,29,_,,Adam,,Pablo,V,Chrissy,,Richard B,V,Richard B,468,4.0,Alex A,26,18
16,Richard B,4,Alex A,,Tom,V,Adam,,Adam,V,Chrissy,,Chrissy,432,12.0,Darran,24,18
17,Nat,3,Greg,,_,,Nat,,Nat,,Nat,V,Nat,396,1.0,Lionel,22,18
18,Eric H,30,_,,Nat,,_,,_,,Eric H,,Eric H,360,15.0,Adam,20,18
19,_,19,_,,_,,_,,_,,_,,_,324,,,18,18
20,_,14,Chrissy,,_,,_,,Eric H,,_,,_,288,,,16,18
21,_,11,Vincent,,_,,_,,_,,_,,_,252,,,14,18
22,_,22,_,,_,,_,,_,,_,,_,216,,,12,18
23,_,27,_,,_,,_,,_,,_,,_,180,,,10,18
24,_,6,Vadym,,_,,Eric H,,_,,_,,_,162,,,9,18
25,_,7,Roeland,,_,,_,,_,,_,,_,144,,,8,18
26,_,26,_,,_,,_,,_,,_,,_,126,,,7,18
27,_,23,_,,_,,_,,_,,_,,_,108,,,6,18
28,_,10,Pablo,,_,,_,,_,,_,,_,90,,,5,18
29,_,15,Adam,V,_,,_,,_,,_,,_,72,,,4,18
30,_,18,Eric H,,_,,_,,_,,_,,_,54,,,3,18
31,_,31,_,,Eric H,,_,,_,,_,,_,36,,,2,18
32,_,2,Tom,,_,,_,,_,,_,,_,18,,,1,18
