Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Greg,1,Greg,,Greg,V,Greg,V,Greg,V,Greg,V,Greg,1700,16.0,Richard B,100,17
2,Alex TR,32,_,,Richard B,,Charlie ,,Steph,,Alex TR,,Alex TR,1445,12.0,Pierre,85,17
3,Vadym,17,_,,Alex TE,,Steph,V,Vadym,,Steph,V,Steph,1275,6.0,Tom,75,17
4,Kamal,16,Richard B,,Charlie ,V,Maxie,,Alex TR,V,Vadym,,Vadym,1139,,,67,17
5,Steph,9,Alex TE,,Steph,V,Vadym,V,Charlie ,,Maxie,V,Maxie,1037,5.0,Steph,61,17
6,Tom,24,_,,Pierre,,Darran,,Maxie,V,Anna Z,,Anna Z,935,1.0,Greg,55,17
7,Anna Z,25,_,,Maxie,V,Anna Z,,Darran,,Charlie ,,Darran,867,15.0,Eugene,51,17
8,Charlie ,8,Charlie ,,Kamal,,Alex TR,V,Anna Z,V,Darran,V,Charlie ,799,10.0,Garen ,47,17
9,Alex TE,5,Steph,,Vadym,V,Richard B,V,Richard B,,Pierre,,Garen ,731,2.0,Alex TR,43,17
10,Garen ,28,_,,Colin ,,Alex TE,,Pierre,V,Garen ,V,Pierre,680,11.0,Darran,40,17
11,Darran,21,_,,Darran,V,Pierre,V,Tom,,Richard B,,Tom,629,3.0,Vadym,37,17
12,Pierre,12,Pierre,,Tom,,Kamal,,Garen ,V,Tom,V,Richard B,578,14.0,Colin ,34,17
13,Maxie,13,Maxie,,Anna Z,V,Colin ,,Alex TE,V,Alex TE,V,Alex TE,527,4.0,Kamal,31,17
14,Colin ,20,_,,Garen ,,Tom,V,Kamal,,Colin ,,Colin ,476,9.0,Alex TE,28,17
15,Eugene,29,_,,Eugene,,Garen ,V,Colin ,V,Kamal,V,Kamal,442,13.0,Maxie,26,17
16,Richard B,4,Kamal,,Alex TR,V,Eugene,,Eugene,,Eugene,,Eugene,408,7.0,Anna Z,24,17
17,_,3,Vadym,,_,,_,,_,,_,,_,374,8.0,Charlie ,22,17
18,_,30,_,,_,,_,,_,,_,,_,340,,,20,17
19,_,19,_,,_,,_,,_,,_,,_,306,,,18,17
20,_,14,Colin ,,_,,_,,_,,_,,_,272,,,16,17
21,_,11,Darran,,_,,_,,_,,_,,_,238,,,14,17
22,_,22,_,,_,,_,,_,,_,,_,204,,,12,17
23,_,27,_,,_,,_,,_,,_,,_,170,,,10,17
24,_,6,Tom,,_,,_,,_,,_,,_,153,,,9,17
25,_,7,Anna Z,,_,,_,,_,,_,,_,136,,,8,17
26,_,26,_,,_,,_,,_,,_,,_,119,,,7,17
27,_,23,_,,_,,_,,_,,_,,_,102,,,6,17
28,_,10,Garen ,,_,,_,,_,,_,,_,85,,,5,17
29,_,15,Eugene,,_,,_,,_,,_,,_,68,,,4,17
30,_,18,_,,_,,_,,_,,_,,_,51,,,3,17
31,_,31,_,,_,,_,,_,,_,,_,34,,,2,17
32,_,2,Alex TR,,_,,_,,_,,_,,_,17,,,1,17
