Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Alex TE,1,Alex TE,,Alex TE,,Alex TE,,Alejo,V,Alejo,V,Alejo,1500,,,100,15
2,Anna Z,32,_,,_,,Alejo,V,Steph,,Anna Z,,Anna Z,1275,7.0,Martin H,85,15
3,Kamal,17,_,,Richard B,,Colin ,,Kamal,,Steph,,Kamal,1125,13.0,Chrissy,75,15
4,Steph,16,_,,Alejo,V,Steph,V,Anna Z,V,Kamal,V,Steph,1005,5.0,Colin ,67,15
5,Colin ,9,Richard B,,Colin ,V,Kamal,V,Alex TE,V,Alex TE,V,Alex TE,915,6.0,frederica,61,15
6,frederica,24,_,,Darran,,frederica,,Colin ,,Martin H,,Martin H,825,10.0,Maxie,55,15
7,Martin H,25,_,,Chrissy,,Martin H,,frederica,,Colin ,V,Colin ,765,8.0,Alejo,51,15
8,Alejo,8,Alejo,,Steph,V,Anna Z,V,Martin H,V,frederica,,frederica,705,9.0,Richard B,47,15
9,Richard B,5,Colin ,,Kamal,V,_,,Richard B,,Darran,V,Darran,645,11.0,Marg,43,15
10,Maxie,28,_,,Andy R,,Richard B,,Darran,V,Maxie,,Maxie,600,2.0,Anna Z,40,15
11,Marg,21,_,,Marg,,Darran,V,Marg,,Richard B,V,Richard B,555,12.0,Darran,37,15
12,Darran,12,Darran,,frederica,V,Chrissy,,Maxie,V,Marg,,Marg,510,14.0,Andy R,34,15
13,Chrissy,13,Chrissy,,Martin H,V,Andy R,,_,,Chrissy,,Andy R,465,1.0,Alex TE,31,15
14,Andy R,20,_,,Maxie,,Marg,V,Chrissy,,Andy R,V,Chrissy,420,3.0,Kamal,28,15
15,_,29,_,,_,,Maxie,,Andy R,,_,,_,390,4.0,Steph,26,15
16,_,4,Steph,,Anna Z,,_,,_,,_,,_,360,,,24,15
17,_,3,Kamal,,_,,_,,_,,_,,_,330,,,22,15
18,_,30,_,,_,,_,,_,,_,,_,300,,,20,15
19,_,19,_,,_,,_,,_,,_,,_,270,,,18,15
20,_,14,Andy R,,_,,_,,_,,_,,_,240,,,16,15
21,_,11,Marg,,_,,_,,_,,_,,_,210,,,14,15
22,_,22,_,,_,,_,,_,,_,,_,180,,,12,15
23,_,27,_,,_,,_,,_,,_,,_,150,,,10,15
24,_,6,frederica,,_,,_,,_,,_,,_,135,,,9,15
25,_,7,Martin H,,_,,_,,_,,_,,_,120,,,8,15
26,_,26,_,,_,,_,,_,,_,,_,105,,,7,15
27,_,23,_,,_,,_,,_,,_,,_,90,,,6,15
28,_,10,Maxie,,_,,_,,_,,_,,_,75,,,5,15
29,_,15,_,,_,,_,,_,,_,,_,60,,,4,15
30,_,18,_,,_,,_,,_,,_,,_,45,,,3,15
31,_,31,_,,_,,_,,_,,_,,_,30,,,2,15
32,_,2,Anna Z,,_,,_,,_,,_,,_,15,,,1,15
