Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Truuvy,1,Truuvy,,Truuvy,,Truuvy,V,Truuvy,,Steph,,Greg,1200,5.0,Steph,100,12
2,Greg,32,_,,_,,Eugene,,Steph,V,Greg,V,Steph,1020,,,85,12
3,Alex TE,17,_,,Marinko,,Steph,V,Alex TE,,Truuvy,,Alex TE,900,8.0,Eugene,75,12
4,Colin ,16,_,,Eugene,V,Colin ,,Greg,V,Alex TE,V,Truuvy,804,7.0,Pablo,67,12
5,Steph,9,Marinko,,Steph,,Alex TE,V,Eugene,,Colin ,,Roeland,732,1.0,Truuvy,61,12
6,Kamal,24,_,,_,,Kamal,,Colin ,V,Roeland,V,Colin ,660,6.0,Kamal,55,12
7,Pablo,25,_,,_,,Roeland,,Kamal,,Eugene,V,Eugene,612,4.0,Colin ,51,12
8,Eugene,8,Eugene,,Colin ,,Greg,V,Roeland,V,Kamal,,Kamal,564,9.0,Marinko,47,12
9,Marinko,5,Steph,,Alex TE,,_,,Marinko,,Marinko,V,Marinko,516,10.0,Roeland,43,12
10,Roeland,28,_,,_,,Marinko,,_,,Pablo,,Pablo,480,11.0,Andy R,40,12
11,Andy R,21,_,,Andy R,,_,,Andy R,,_,,Andy R,444,2.0,Greg,37,12
12,_,12,_,,Kamal,V,_,,Pablo,V,Andy R,,_,408,3.0,Alex TE,34,12
13,_,13,_,,Pablo,,_,,_,,_,,_,372,,,31,12
14,_,20,_,,Roeland,V,Andy R,,_,,_,,_,336,,,28,12
15,_,29,_,,_,,Pablo,,_,,_,,_,312,,,26,12
16,_,4,Colin ,,Greg,,_,,_,,_,,_,288,,,24,12
17,_,3,Alex TE,,_,,_,,_,,_,,_,264,,,22,12
18,_,30,_,,_,,_,,_,,_,,_,240,,,20,12
19,_,19,_,,_,,_,,_,,_,,_,216,,,18,12
20,_,14,_,,_,,_,,_,,_,,_,192,,,16,12
21,_,11,Andy R,,_,,_,,_,,_,,_,168,,,14,12
22,_,22,_,,_,,_,,_,,_,,_,144,,,12,12
23,_,27,_,,_,,_,,_,,_,,_,120,,,10,12
24,_,6,Kamal,,_,,_,,_,,_,,_,108,,,9,12
25,_,7,Pablo,,_,,_,,_,,_,,_,96,,,8,12
26,_,26,_,,_,,_,,_,,_,,_,84,,,7,12
27,_,23,_,,_,,_,,_,,_,,_,72,,,6,12
28,_,10,Roeland,,_,,_,,_,,_,,_,60,,,5,12
29,_,15,_,,_,,_,,_,,_,,_,48,,,4,12
30,_,18,_,,_,,_,,_,,_,,_,36,,,3,12
31,_,31,_,,_,,_,,_,,_,,_,24,,,2,12
32,_,2,Greg,,_,,_,,_,,_,,_,12,,,1,12
