Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Rudi,1,Rudi,,Rudi,V,Rudi,V,Rudi,,Greg,V,Greg,2300,2.0,Eric L,100,23
2,Eric L,32,_,,Etienne,,Ben McL,,Greg,V,Truuvy,,Truuvy,1955,15.0,Jonathan L,85,23
3,Tom,17,Charlie ,,Ben McL,V,Greg,V,Truuvy,V,Rudi,,Tariq,1725,10.0,Tariq,75,23
4,Sammy,16,Etienne,V,Vadym,,Sammy,,Tariq,,Tariq,V,Rudi,1541,4.0,Sammy,67,23
5,Greg,9,Ben McL,,Greg,V,Alex TE,,Ben McL,V,Ben McL,V,Ben McL,1403,9.0,Ben McL,61,23
6,Vincent,24,_,,Kamal,,Truuvy,V,Sammy,,Alex TE,,Alex TE,1265,18.0,Kieran,55,23
7,Colin ,25,_,,Eugene,,Tariq,V,Alex TE,V,Sammy,V,Sammy,1173,6.0,Vincent,51,23
8,Vadym,8,Vadym,,Sammy,V,Eric L,,Eric L,,Eric L,,Eric L,1081,20.0,Eugene,47,23
9,Ben McL,5,Greg,,Tom,,Etienne,,Vadym,,Kamal,,Tom,989,5.0,Greg,43,23
10,Tariq,28,_,,Alex TE,V,Vadym,V,Kamal,V,Tom,V,Kamal,920,13.0,Richard B,40,23
11,Truuvy,21,Nat,,Truuvy,V,Kamal,V,Tom,V,Vadym,V,Vadym,851,8.0,Vadym,37,23
12,Kamal,12,Kamal,V,Vincent,,Eugene,,Colin ,,Colin ,,Colin ,782,3.0,Tom,34,23
13,Richard B,13,Richard B,,Colin ,,Tom,V,Etienne,V,Etienne,V,Etienne,713,7.0,Colin ,31,23
14,Alex TE,20,Eugene,V,Tariq,V,Vincent,,Eugene,,Vincent,,Vincent,644,,,28,23
15,Jonathan L,29,_,,Jonathan L,,Colin ,V,Vincent,V,Eugene,V,Eugene,598,11.0,Truuvy,26,23
16,Etienne,4,Sammy,,Eric L,V,Jonathan L,,Jonathan L,,Jonathan L,,Jonathan L,552,21.0,Nat,24,23
17,Charlie ,3,Tom,,_,,Charlie ,,Charlie ,,Richard B,V,Richard B,506,17.0,Charlie ,22,23
18,Kieran,30,_,,Charlie ,,_,,Richard B,V,Andy R,,Andy R,460,14.0,Alex TE,20,23
19,Andy R,19,Andy R,,_,,Nat,,Andy R,V,Charlie ,V,Charlie ,414,1.0,Rudi,18,23
20,Eugene,14,Alex TE,V,_,,Richard B,V,Kieran,,Kieran,,Kieran,368,12.0,Kamal,16,23
21,Nat,11,Truuvy,V,_,,Andy R,V,_,,Nat,V,Nat,322,16.0,Etienne,14,23
22,Giulia,22,Giulia,,Nat,,Giulia,,Nat,,Giulia,,Giulia,276,22.0,Giulia,12,23
23,_,27,_,,Richard B,,_,,Giulia,,_,,_,230,19.0,Andy R,10,23
24,_,6,Vincent,,_,,Kieran,,_,,_,,_,207,,,9,23
25,_,7,Colin ,,_,,_,,_,,_,,_,184,,,8,23
26,_,26,_,,Andy R,,_,,_,,_,,_,161,,,7,23
27,_,23,_,,Giulia,,_,,_,,_,,_,138,,,6,23
28,_,10,Tariq,,_,,_,,_,,_,,_,115,,,5,23
29,_,15,Jonathan L,V,_,,_,,_,,_,,_,92,,,4,23
30,_,18,Kieran,,_,,_,,_,,_,,_,69,,,3,23
31,_,31,_,,Kieran,,_,,_,,_,,_,46,,,2,23
32,_,2,Eric L,,_,,_,,_,,_,,_,23,,,1,23
