Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Greg,1,Greg,,Greg,V,Greg,V,Greg,V,Greg,V,Greg,2000,2.0,Eric L,100,20
2,Eric L,32,_,,bryan,,Sammy,,Truuvy,,Eric L,,Eric L,1700,5.0,Charlie ,85,20
3,Maxie,17,Jonathan,,Sammy,V,Truuvy,V,Val,,Truuvy,,Val,1500,4.0,Alejo,75,20
4,Alejo,16,bryan,V,Georgina,,Alejo,,Eric L,V,Val,V,Truuvy,1340,14.0,Richard B,67,20
5,Charlie ,9,Sammy,,Charlie ,,Maxie,,Sammy,,Alejo,V,Alejo,1220,9.0,Sammy,61,20
6,Val,24,_,,Truuvy,V,Val,V,Alejo,V,Alex TE,,Alex TE,1100,17.0,Jonathan,55,20
7,Alex TE,25,_,,Vadym,,Alex TE,,Maxie,,Sammy,V,Sammy,1020,1.0,Greg,51,20
8,Georgina,8,Georgina,,Alejo,V,Eric L,V,Alex TE,V,Maxie,,Maxie,940,8.0,Georgina,47,20
9,Sammy,5,Charlie ,,Maxie,V,bryan,,Georgina,,Vadym,,Garen ,860,,,43,20
10,Garen ,28,_,,Richard B,,Georgina,V,Vadym,V,Garen ,V,Vadym,800,6.0,Val,40,20
11,Darran,21,_,,Darran,,Charlie ,,Darran,,Georgina,V,Georgina,740,11.0,Darran,37,20
12,Truuvy,12,Truuvy,,Val,V,Vadym,V,Garen ,V,Darran,,Darran,680,3.0,Maxie,34,20
13,Vadym,13,Vadym,,Alex TE,V,Richard B,,bryan,V,bryan,V,bryan,620,12.0,Truuvy,31,20
14,Richard B,20,_,,Garen ,,Darran,V,Charlie ,,Richard B,,Richard B,560,7.0,Alex TE,28,20
15,Steph,29,_,,Steph,,Garen ,V,Richard B,V,Charlie ,,Steph,520,19.0,Andy R,26,20
16,bryan,4,Alejo,,Eric L,V,Steph,,Steph,,Steph,V,Charlie ,480,13.0,Vadym,24,20
17,Jonathan,3,Maxie,,_,,Jonathan,,Jonathan,,Jonathan,,Andy R,440,10.0,Garen ,22,20
18,Nat,30,_,,Jonathan,,_,,_,,Andy R,V,Jonathan,400,16.0,bryan,20,20
19,Andy R,19,Andy R,,_,,_,,Andy R,V,_,,Nat,360,,,18,20
20,_,14,Richard B,V,_,,_,,Nat,,Nat,,_,320,18.0,Nat,16,20
21,_,11,Darran,,_,,Andy R,,_,,_,,_,280,15.0,Steph,14,20
22,_,22,_,,_,,_,,_,,_,,_,240,,,12,20
23,_,27,_,,_,,_,,_,,_,,_,200,,,10,20
24,_,6,Val,,_,,Nat,,_,,_,,_,180,,,9,20
25,_,7,Alex TE,,_,,_,,_,,_,,_,160,,,8,20
26,_,26,_,,Andy R,,_,,_,,_,,_,140,,,7,20
27,_,23,_,,_,,_,,_,,_,,_,120,,,6,20
28,_,10,Garen ,,_,,_,,_,,_,,_,100,,,5,20
29,_,15,Steph,V,_,,_,,_,,_,,_,80,,,4,20
30,_,18,Nat,,_,,_,,_,,_,,_,60,,,3,20
31,_,31,_,,Nat,,_,,_,,_,,_,40,,,2,20
32,_,2,Eric L,,_,,_,,_,,_,,_,20,,,1,20
