Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Greg,1,Greg,,Greg,,Greg,,Charlie ,V,Charlie ,,Lionel,1500,3.0,Eric L,100,15
2,Lionel,32,_,,_,,Charlie ,V,Vaidas,,Lionel,V,Charlie ,1275,10.0,Shevy,85,15
3,Eric L,17,_,,Charlie ,V,Richard B,,Eric L,,Vaidas,,Eric L,1125,1.0,Greg,75,15
4,Vaidas,16,_,,Colin ,,Vaidas,V,Lionel,V,Eric L,V,Vaidas,1005,12.0,Richard B,67,15
5,Vadym,9,Charlie ,,Vadym,,Eric L,V,Greg,V,Greg,V,Greg,915,13.0,Eugene,61,15
6,Patrick L,24,_,,Richard B,V,Steph,,Richard B,,Steph,,Steph,825,,,55,15
7,Alex TE,25,_,,Eugene,,Shevy,,Steph,V,Richard B,V,Richard B,765,4.0,Vaidas,51,15
8,Colin ,8,Colin ,,Vaidas,V,Lionel,V,Shevy,,Shevy,,Shevy,705,8.0,Colin ,47,15
9,Charlie ,5,Vadym,,Eric L,V,_,,Colin ,,Vadym,V,Vadym,645,11.0,Steph,43,15
10,Shevy,28,_,,Tom,,Colin ,,Vadym,V,Alex TE,,Alex TE,600,14.0,Tom,40,15
11,Steph,21,_,,Steph,V,Vadym,V,Tom,,Colin ,V,Colin ,555,7.0,Alex TE,37,15
12,Richard B,12,Richard B,,Patrick L,,Eugene,,Alex TE,V,Tom,,Tom,510,2.0,Lionel,34,15
13,Eugene,13,Eugene,,Alex TE,,Tom,V,_,,Eugene,V,Eugene,465,5.0,Vadym,31,15
14,Tom,20,_,,Shevy,V,Patrick L,,Eugene,,Patrick L,,Patrick L,420,6.0,Patrick L,28,15
15,_,29,_,,_,,Alex TE,,Patrick L,,_,,_,390,9.0,Charlie ,26,15
16,_,4,Vaidas,,Lionel,,_,,_,,_,,_,360,,,24,15
17,_,3,Eric L,,_,,_,,_,,_,,_,330,,,22,15
18,_,30,_,,_,,_,,_,,_,,_,300,,,20,15
19,_,19,_,,_,,_,,_,,_,,_,270,,,18,15
20,_,14,Tom,,_,,_,,_,,_,,_,240,,,16,15
21,_,11,Steph,,_,,_,,_,,_,,_,210,,,14,15
22,_,22,_,,_,,_,,_,,_,,_,180,,,12,15
23,_,27,_,,_,,_,,_,,_,,_,150,,,10,15
24,_,6,Patrick L,,_,,_,,_,,_,,_,135,,,9,15
25,_,7,Alex TE,,_,,_,,_,,_,,_,120,,,8,15
26,_,26,_,,_,,_,,_,,_,,_,105,,,7,15
27,_,23,_,,_,,_,,_,,_,,_,90,,,6,15
28,_,10,Shevy,,_,,_,,_,,_,,_,75,,,5,15
29,_,15,_,,_,,_,,_,,_,,_,60,,,4,15
30,_,18,_,,_,,_,,_,,_,,_,45,,,3,15
31,_,31,_,,_,,_,,_,,_,,_,30,,,2,15
32,_,2,Lionel,,_,,_,,_,,_,,_,15,,,1,15
