Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Eric L,1,Eric L,,Eric L,V,Eric L,V,Eric L,,Leo,V,Leo,2900,1.0,Eric L,100,29
2,Greg,32,_,,Phil,,ALESSANDRO,,Leo,V,Bowen,,Bowen,2465,12.0,Pablo,85,29
3,Truuvy,17,Phil,V,ALESSANDRO,V,Vadym,,Hugo,,Eric L,,Hugo,2175,11.0,Alex TE,75,29
4,Charlie ,16,marinko,,Darran,,Leo,V,Bowen,V,Hugo,V,Eric L,1943,2.0,Greg,67,29
5,Vadym,9,Tarriq ,,Vadym,V,Truuvy,,ALESSANDRO,,Vadym,,Truuvy,1769,14.0,jp,61,29
6,Hugo,24,ALESSANDRO,V,pickford,,Hugo,V,Vadym,V,Truuvy,V,Vadym,1595,24.0,ALESSANDRO,55,29
7,Tom,25,Maiya O,,Leo,V,Andy H,,Truuvy,V,ALESSANDRO,,Andy H,1479,25.0,Maiya O,51,29
8,Darran,8,Darran,V,Charlie ,,Bowen,V,Andy H,,Andy H,V,ALESSANDRO,1363,10.0,Andy H,47,29
9,Tarriq ,5,Vadym,V,Truuvy,V,Phil,,Darran,V,Darran,,Greg,1247,7.0,Tom,43,29
10,Andy H,28,Rita,,jp,,Darran,V,pickford,,Greg,V,Darran,1160,3.0,Truuvy,40,29
11,Alex TE,21,pickford,V,Alex TE,,pickford,V,jp,,pickford,,jp,1073,28.0,Rita,37,29
12,Pablo,12,Pablo,,Hugo,V,Charlie ,,Greg,V,jp,V,pickford,986,20.0,Leo,34,29
13,Colin ,13,Colin ,,Tom,,jp,V,Phil,V,Phil,,Alex TE,899,23.0,Joshua Yong,31,29
14,jp,20,Leo,V,Andy H,V,Alex TE,,Charlie ,,Alex TE,V,Phil,812,22.0,Eugene,28,29
15,Bowen,29,_,,Bowen,V,Tom,,Alex TE,V,Charlie ,,Tom,754,26.0,ALEX Y,26,29
16,marinko,4,Charlie ,,Greg,,Greg,V,Tom,,Tom,V,Charlie ,696,17.0,Phil,24,29
17,Phil,3,Truuvy,,_,,marinko,,Tarriq ,V,Tarriq ,V,Tarriq ,638,16.0,marinko,22,29
18,jonathan,30,_,,marinko,,Tarriq ,V,Colin ,,Joshua Yong,,Joshua Yong,580,8.0,Darran,20,29
19,Patrick L,19,Patrick L,,Tarriq ,V,Pablo,,Patrick L,,Colin ,V,Colin ,522,13.0,Colin ,18,29
20,Leo,14,jp,V,Maiya O,,Colin ,V,Joshua Yong,V,Patrick L,,Patrick L,464,4.0,Charlie ,16,29
21,pickford,11,Alex TE,V,Rita,,Patrick L,V,marinko,,Pablo,V,Pablo,406,18.0,jonathan,14,29
22,Eugene,22,Eugene,,Pablo,V,Eugene,,Pablo,V,Eugene,,Eugene,348,15.0,Bowen,12,29
23,Joshua Yong,27,Andy R,,Colin ,,Joshua Yong,V,Eugene,V,marinko,V,marinko,290,21.0,pickford,10,29
24,ALESSANDRO,6,Hugo,V,_,,jonathan,,jonathan,,jonathan,,jonathan,261,6.0,Hugo,9,29
25,Maiya O,7,Tom,V,_,,_,,Maiya O,,Rita,V,Rita,232,9.0,Tarriq ,8,29
26,ALEX Y,26,ALEX Y,,Patrick L,,Maiya O,,Rita,V,ALEX Y,,ALEX Y,203,,,7,29
27,Andy R,23,Joshua Yong,,Eugene,V,Rita,,Andy R,,Maiya O,V,Maiya O,174,19.0,Patrick L,6,29
28,Rita,10,Andy H,V,Andy R,,_,,ALEX Y,V,Andy R,,Andy R,145,5.0,Vadym,5,29
29,_,15,Bowen,V,ALEX Y,,_,,_,,_,,_,116,27.0,Andy R,4,29
30,_,18,jonathan,,Joshua Yong,V,Andy R,,_,,_,,_,87,,,3,29
31,_,31,_,,jonathan,,ALEX Y,,_,,_,,_,58,,,2,29
32,_,2,Greg,,_,,_,,_,,_,,_,29,,,1,29
