Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Colin ,1,Colin ,,Colin ,V,Colin ,,Hugo,V,Hugo,,Greg,2500,5.0,Willie,100,25
2,Greg,32,_,,Maxie,,Hugo,V,will p,,Greg,V,Hugo,2125,14.0,Shevy,85,25
3,Alejo,17,Maxie,V,Hugo,V,will p,V,Shevy,,will p,V,will p,1875,18.0,Pablo,75,25
4,Colin W,16,Eugene,,Charlie ,,Colin W,,Greg,V,Shevy,,Shevy,1675,,,67,25
5,Willie,9,Hugo,,Willie,,Shevy,V,Colin ,,Colin W,V,Colin W,1525,2.0,Greg,61,25
6,Tom,24,_,,will p,V,Truuvy,,Colin W,V,Alex TE,,Alex TE,1375,9.0,Hugo,55,25
7,Vadym,25,_,,Bowen,,Alex TE,,Truuvy,,Colin ,,Truuvy,1275,6.0,Tom,51,25
8,Charlie ,8,Charlie ,,Colin W,V,Greg,V,Alex TE,V,Truuvy,V,Colin ,1175,23.0,Lucas,47,25
9,Hugo,5,Willie,,Alejo,,Maxie,,Charlie ,V,Charlie ,V,Charlie ,1075,8.0,Charlie ,43,25
10,Alex TE,28,_,,Shevy,V,Charlie ,V,Willie,,Pablo,,Pablo,1000,22.0,Truuvy,40,25
11,Max T,21,Marinko,,Truuvy,V,Willie,V,Alejo,,Willie,V,Willie,925,7.0,Vadym,37,25
12,will p,12,will p,V,Tom,,Bowen,,Pablo,V,Alejo,,Alejo,850,1.0,Colin ,34,25
13,Kamal,13,Kamal,,Vadym,,Alejo,V,Maxie,,Bowen,V,Bowen,775,13.0,Kamal,31,25
14,Shevy,20,Bowen,V,Alex TE,V,Tom,,Bowen,V,Vadym,,Vadym,700,17.0,Maxie,28,25
15,Maiya,29,_,,Pablo,,Vadym,,Tom,,Maxie,V,Maxie,650,16.0,Eugene,26,25
16,Eugene,4,Colin W,,Greg,V,Pablo,V,Vadym,V,Tom,,Tom,600,11.0,Max T,24,25
17,Maxie,3,Alejo,,_,,Eugene,,Eugene,,Kamal,V,Kamal,550,19.0,Joshua,22,25
18,Pablo,30,_,,Eugene,,_,,Kamal,V,Joshua,,Joshua,500,3.0,Alejo,20,25
19,Joshua,19,Joshua,,_,,Marinko,,Joshua,V,Eugene,V,Eugene,450,15.0,Maiya,18,25
20,Bowen,14,Shevy,V,_,,Kamal,V,Maiya,,Maiya,,Maiya,400,,,16,25
21,Marinko,11,Max T,,_,,Joshua,V,_,,Marinko,,Lucas,350,20.0,Bowen,14,25
22,Truuvy,22,Truuvy,V,Marinko,,Max T,,Marinko,,Lucas,V,Marinko,300,12.0,will p,12,25
23,Lucas,27,_,,Kamal,,Lucas,,Max T,,_,,Max T,250,21.0,Marinko,10,25
24,_,6,Tom,,_,,Maiya,V,Lucas,V,Max T,,_,225,10.0,Alex TE,9,25
25,_,7,Vadym,,_,,_,,_,,_,,_,200,4.0,Colin W,8,25
26,_,26,_,,Joshua,,_,,_,,_,,_,175,,,7,25
27,_,23,Lucas,,Max T,,_,,_,,_,,_,150,,,6,25
28,_,10,Alex TE,V,_,,_,,_,,_,,_,125,,,5,25
29,_,15,Maiya,,_,,_,,_,,_,,_,100,,,4,25
30,_,18,Pablo,V,Lucas,,_,,_,,_,,_,75,,,3,25
31,_,31,_,,Maiya,,_,,_,,_,,_,50,,,2,25
32,_,2,Greg,,_,,_,,_,,_,,_,25,,,1,25
