Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Greg,1,Greg,,Greg,V,Greg,V,Greg,V,Greg,V,Greg,2200,1.0,Greg,100,22
2,Alex A,32,_,,Alejo,,Vivian,,Truuvy,,Shevy,,Shevy,1870,19.0,Richard B,85,22
3,Charlie ,17,Alberto,,Vivian,V,Vadym,,Shevy,V,Truuvy,V,Truuvy,1650,20.0,Marinko,75,22
4,Truuvy,16,Alejo,V,Clemens,,Truuvy,V,Steph,,Steph,,Steph,1474,2.0,Alex A,67,22
5,Vadym,9,Vivian,,Vadym,V,Charlie ,,Vivian,V,Vivian,V,Vivian,1342,10.0,Tom,61,22
6,Vincent,24,_,,Darran,,Shevy,V,Vadym,,Eugene,,Eugene,1210,,,55,22
7,Steph,25,_,,Jonathan,,Steph,V,Charlie ,,Vadym,V,Vadym,1122,13.0,Jonathan,51,22
8,Clemens,8,Clemens,,Truuvy,V,Eugene,,Eugene,V,Charlie ,,Charlie ,1034,3.0,Charlie ,47,22
9,Vivian,5,Vadym,,Charlie ,V,Alejo,,Clemens,,Darran,,Alex A,946,15.0,Eugene,43,22
10,Tom,28,_,,Colin R,,Clemens,V,Darran,V,Alex A,V,Darran,880,,,40,22
11,Shevy,21,_,,Shevy,V,Darran,V,Colin R,,Clemens,V,Clemens,814,16.0,Alejo,37,22
12,Darran,12,Darran,,Vincent,,Jonathan,,Alex A,V,Colin R,,Colin R,748,8.0,Clemens,34,22
13,Jonathan,13,Jonathan,V,Steph,V,Colin R,V,Alejo,V,Alejo,,Vincent,682,6.0,Vincent,31,22
14,Colin R,20,Marinko,,Tom,,Vincent,,Jonathan,,Vincent,V,Alejo,616,14.0,Colin R,28,22
15,Eugene,29,_,,Eugene,V,Tom,,Vincent,V,Jonathan,,Tom,572,18.0,Lucas,26,22
16,Alejo,4,Truuvy,,Alex A,,Alex A,V,Tom,,Tom,V,Jonathan,528,11.0,Shevy,24,22
17,Alberto,3,Charlie ,,_,,Alberto,,Alberto,V,Alberto,,Richard B,484,5.0,Vadym,22,22
18,Lucas,30,_,,Alberto,,_,,Marinko,,Richard B,V,Alberto,440,17.0,Alberto,20,22
19,Richard B,19,Richard B,,_,,_,,Richard B,V,Marinko,V,Marinko,396,12.0,Darran,18,22
20,Marinko,14,Colin R,V,_,,Marinko,,Lucas,,Lucas,,Lucas,352,4.0,Truuvy,16,22
21,_,11,Shevy,,_,,Richard B,,_,,_,,_,308,7.0,Steph,14,22
22,_,22,_,,_,,_,,_,,_,,_,264,9.0,Vivian,12,22
23,_,27,_,,Marinko,,_,,_,,_,,_,220,,,10,22
24,_,6,Vincent,,_,,Lucas,,_,,_,,_,198,,,9,22
25,_,7,Steph,,_,,_,,_,,_,,_,176,,,8,22
26,_,26,_,,Richard B,,_,,_,,_,,_,154,,,7,22
27,_,23,_,,_,,_,,_,,_,,_,132,,,6,22
28,_,10,Tom,,_,,_,,_,,_,,_,110,,,5,22
29,_,15,Eugene,V,_,,_,,_,,_,,_,88,,,4,22
30,_,18,Lucas,,_,,_,,_,,_,,_,66,,,3,22
31,_,31,_,,Lucas,,_,,_,,_,,_,44,,,2,22
32,_,2,Alex A,,_,,_,,_,,_,,_,22,,,1,22
