Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Steph,1,Steph,,Steph,,Vivian,V,Vivian,,Eric L,V,Eric L,2600,4.0,Eric L,100,26
2,Darran,32,_,,Vivian,V,Charlie ,,Eric L,V,Greg,,Greg,2210,,,85,26
3,Greg,17,Vivian,V,Charlie ,V,Sammy,,Greg,V,Vivian,,Tom,1950,10.0,Pierre,75,26
4,Eric L,16,Richard B,,Vadym,,Eric L,V,Tom,,Tom,V,Vivian,1742,3.0,Greg,67,26
5,Truuvy,9,Charlie ,,Truuvy,,Greg,V,Charlie ,,Sammy,V,Sammy,1586,18.0,Alex Y,61,26
6,Alejo,24,_,,Sammy,V,Joshua,,Sammy,V,Darran,,Darran,1430,22.0,Will P,55,26
7,Tom,25,_,,Vincent,,Tom,V,Joshua,,Charlie ,,Joshua,1326,11.0,Joshua,51,26
8,Vadym,8,Vadym,,Eric L,V,Darran,,Darran,V,Joshua,V,Charlie ,1222,20.0,Eugene,47,26
9,Charlie ,5,Truuvy,,Greg,V,Steph,,Vadym,,Truuvy,,Pierre,1118,23.0,Lucas,43,26
10,Pierre,28,_,,Pablo,,Vadym,V,Truuvy,V,Pierre,V,Truuvy,1040,16.0,Richard B,40,26
11,Joshua,21,Colin R,,Joshua,V,Truuvy,V,Alejo,,Vadym,,Alejo,962,9.0,Charlie ,37,26
12,Sammy,12,Sammy,V,Alejo,,Vincent,,Pierre,V,Alejo,V,Vadym,884,6.0,Alejo,34,26
13,Vincent,13,Vincent,V,Tom,V,Pablo,,Steph,V,Steph,,Alex Y,806,,,31,26
14,Alberto,20,Eugene,,Pierre,,Alejo,V,Vincent,,Alex Y,V,Steph,728,21.0,Colin R,28,26
15,Roeland,29,_,,Alex Y,,Pierre,V,Pablo,,Vincent,,Pablo,676,19.0,Pablo,26,26
16,Richard B,4,Eric L,,Darran,V,Alex Y,,Alex Y,V,Pablo,V,Vincent,624,14.0,Alberto,24,26
17,Vivian,3,Greg,,_,,Richard B,,Richard B,V,Richard B,,Roeland,572,1.0,Steph,22,26
18,Alex Y,30,_,,Richard B,,_,,Colin R,,Roeland,V,Richard B,520,8.0,Vadym,20,26
19,Pablo,19,Pablo,V,_,,Colin R,V,Will P,,Colin R,,Will P,468,,,18,26
20,Eugene,14,Alberto,,_,,Eugene,,Roeland,V,Will P,V,Colin R,416,15.0,Roeland,16,26
21,Colin R,11,Joshua,V,_,,Alberto,,_,,Eugene,V,Eugene,364,2.0,Darran,14,26
22,Will P,22,Will P,,Colin R,,Will P,V,Eugene,,Alberto,,Alberto,312,13.0,Vincent,12,26
23,Lucas,27,_,,Eugene,,Lucas,,Alberto,V,_,,Lucas,260,12.0,Sammy,10,26
24,_,6,Alejo,,_,,Roeland,V,Lucas,,Lucas,,_,234,5.0,Truuvy,9,26
25,_,7,Tom,,_,,_,,_,,_,,_,208,17.0,Vivian,8,26
26,_,26,_,,Alberto,,_,,_,,_,,_,182,7.0,Tom,7,26
27,_,23,Lucas,,Will P,,_,,_,,_,,_,156,,,6,26
28,_,10,Pierre,V,_,,_,,_,,_,,_,130,,,5,26
29,_,15,Roeland,,_,,_,,_,,_,,_,104,,,4,26
30,_,18,Alex Y,V,Lucas,,_,,_,,_,,_,78,,,3,26
31,_,31,_,,Roeland,,_,,_,,_,,_,52,,,2,26
32,_,2,Darran,,_,,_,,_,,_,,_,26,,,1,26
