Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Greg,1,Greg,,Greg,V,Greg,V,Greg,V,Greg,V,Greg,2300,12.0,Shevy,100,23
2,Truuvy,32,_,,Charlie ,,Colin R,,Alejo,,Truuvy,,Truuvy,1955,,,85,23
3,Vadym,17,Charlie ,V,Colin R,V,Alejo,V,Vadym,,Alejo,,Vadym,1725,8.0,Eric L,75,23
4,Vincent,16,Lucas,,Eric L,,Vincent,,Truuvy,V,Vadym,V,Alejo,1541,11.0,Richard B,67,23
5,Alejo,9,Colin R,,Alejo,V,Vadym,V,Colin R,,Vincent,V,Vincent,1403,13.0,Eugene,61,23
6,Tom,24,_,,Shevy,,Tom,,Vincent,V,Giles,,Giles,1265,14.0,Joshua,55,23
7,Steph,25,_,,Eugene,,Giles,,Tom,,Colin R,V,Colin R,1173,9.0,Colin R,51,23
8,Eric L,8,Eric L,,Vincent,V,Truuvy,V,Giles,V,Tom,,Tom,1081,1.0,Greg,47,23
9,Colin R,5,Alejo,,Vadym,V,Charlie ,V,Charlie ,,Eugene,V,Eugene,989,7.0,Steph,43,23
10,Giles,28,_,,Joshua,,Eric L,,Eugene,V,Steph,,Steph,920,16.0,Lucas,40,23
11,Richard B,21,Andy R,,Richard B,,Shevy,,Richard B,,Charlie ,,Richard B,851,20.0,Enrik,37,23
12,Shevy,12,Shevy,V,Tom,V,Eugene,V,Steph,V,Richard B,V,Charlie ,782,19.0,Jonathan,34,23
13,Eugene,13,Eugene,V,Steph,,Joshua,,Eric L,,Shevy,,Etienne,713,6.0,Tom,31,23
14,Joshua,20,Enrik,,Giles,V,Richard B,V,Shevy,V,Etienne,V,Shevy,644,4.0,Vincent,28,23
15,Martin H,29,_,,Etienne,,Steph,V,Joshua,,Eric L,,Joshua,598,10.0,Giles,26,23
16,Lucas,4,Vincent,,Truuvy,V,Etienne,,Etienne,V,Joshua,V,Eric L,552,2.0,Truuvy,24,23
17,Charlie ,3,Vadym,,_,,Lucas,,Lucas,V,Lucas,,Martin H,506,3.0,Vadym,22,23
18,Etienne,30,_,,Lucas,,_,,Enrik,,Martin H,V,Lucas,460,21.0,Andy R,20,23
19,Jonathan,19,Jonathan,,_,,Andy R,,Jonathan,,Enrik,V,Enrik,414,5.0,Alejo,18,23
20,Enrik,14,Joshua,V,_,,Enrik,V,Martin H,V,Jonathan,,Jonathan,368,15.0,Martin H,16,23
21,Andy R,11,Richard B,V,_,,Jonathan,V,_,,Andy R,V,Andy R,322,18.0,Etienne,14,23
22,Nat,22,Nat,,Andy R,,Nat,,Andy R,,Nat,,Nat,276,17.0,Charlie ,12,23
23,_,27,_,,Enrik,,_,,Nat,,_,,_,230,22.0,Nat,10,23
24,_,6,Tom,,_,,Martin H,,_,,_,,_,207,,,9,23
25,_,7,Steph,,_,,_,,_,,_,,_,184,,,8,23
26,_,26,_,,Jonathan,,_,,_,,_,,_,161,,,7,23
27,_,23,_,,Nat,,_,,_,,_,,_,138,,,6,23
28,_,10,Giles,,_,,_,,_,,_,,_,115,,,5,23
29,_,15,Martin H,,_,,_,,_,,_,,_,92,,,4,23
30,_,18,Etienne,V,_,,_,,_,,_,,_,69,,,3,23
31,_,31,_,,Martin H,,_,,_,,_,,_,46,,,2,23
32,_,2,Truuvy,,_,,_,,_,,_,,_,23,,,1,23
