Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Greg,1,Greg,,Greg,V,Greg,V,Greg,,Rudi,V,Rudi,2700,6.0,Shevy,100,27
2,Alex Y,32,_,,Luka,,Alejo,,Rudi,V,Shevy,,Shevy,2295,3.0,Pierre,85,27
3,Pierre,17,Pablo,,Alejo,V,Charlie ,,Shevy,V,Greg,V,Greg,2025,,,75,27
4,Rudi,16,Luka,V,Amaury,,Rudi,V,Alex Y,,Alex Y,,Alex Y,1809,8.0,Amaury,67,27
5,Charlie ,9,Alejo,,Charlie ,V,Pierre,,Alejo,V,Alejo,V,Alejo,1647,1.0,Greg,61,27
6,Shevy,24,_,,Tom,,Shevy,V,Charlie ,,Pierre,,Pierre,1485,,,55,27
7,Vivian,25,_,,Colin R,,Vivian,,Pierre,V,Charlie ,,Vivian,1377,22.0,Nat,51,27
8,Amaury,8,Amaury,,Rudi,V,Alex Y,V,Vivian,,Vivian,V,Charlie ,1269,18.0,Lucas,47,27
9,Alejo,5,Charlie ,,Pierre,V,Luka,,Amaury,,Tom,V,Tom,1161,12.0,Tom,43,27
10,Steph,28,_,,Truuvy,,Amaury,V,Tom,V,Clemens,,Clemens,1080,10.0,Steph,40,27
11,Clemens,21,Flavia,,Clemens,,Tom,V,Clemens,V,Amaury,V,Amaury,999,16.0,Luka,37,27
12,Tom,12,Tom,V,Shevy,V,Colin R,,Steph,,Steph,,Steph,918,,,34,27
13,Colin R,13,Colin R,V,Vivian,V,Truuvy,,Luka,,Colin R,,Truuvy,837,13.0,Colin R,31,27
14,Truuvy,20,Lance,,Steph,,Clemens,V,Colin R,V,Truuvy,V,Colin R,756,17.0,Pablo,28,27
15,Giles,29,_,,Lucas,,Steph,V,Truuvy,V,Luka,V,Luka,702,5.0,Charlie ,26,27
16,Luka,4,Rudi,,Alex Y,V,Lucas,,Lucas,,Lucas,,Lucas,648,9.0,Alejo,24,27
17,Pablo,3,Pierre,,_,,Pablo,,Pablo,,Lance,V,Lance,594,2.0,Alex Y,22,27
18,Lucas,30,_,,Pablo,,_,,Lance,V,Enrik,,Enrik,540,15.0,Giles,20,27
19,Enrik,19,Enrik,,_,,Flavia,,Enrik,V,Pablo,V,Pablo,486,11.0,Clemens,18,27
20,Lance,14,Truuvy,V,_,,Lance,V,Giles,,Giles,,Giles,432,21.0,Flavia,16,27
21,Flavia,11,Clemens,V,_,,Enrik,V,_,,Flavia,,Andy R,378,14.0,Truuvy,14,27
22,Nat,22,Nat,,Flavia,,Nat,,Flavia,,Andy R,V,Flavia,324,,,12,27
23,Andy R,27,_,,Lance,,Andy R,,Nat,,_,,Nat,270,20.0,Lance,10,27
24,_,6,Shevy,,_,,Giles,V,Andy R,V,Nat,,_,243,4.0,Rudi,9,27
25,_,7,Vivian,,_,,_,,_,,_,,_,216,19.0,Enrik,8,27
26,_,26,_,,Enrik,,_,,_,,_,,_,189,23.0,Andy R,7,27
27,_,23,Andy R,,Nat,,_,,_,,_,,_,162,7.0,Vivian,6,27
28,_,10,Steph,V,_,,_,,_,,_,,_,135,,,5,27
29,_,15,Giles,,_,,_,,_,,_,,_,108,,,4,27
30,_,18,Lucas,V,Andy R,,_,,_,,_,,_,81,,,3,27
31,_,31,_,,Giles,,_,,_,,_,,_,54,,,2,27
32,_,2,Alex Y,,_,,_,,_,,_,,_,27,,,1,27
