Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Greg,1,Greg,,Greg,V,Greg,V,Greg,V,Greg,V,Greg,2200,,,100,22
2,Alejo,32,_,,Richard B,,Truuvy,,Vadym,,Alejo,,Alejo,1870,1.0,Greg,85,22
3,Vincent,17,Richard B,V,Enrik,,Vadym,V,Vincent,,Vadym,,Vincent,1650,6.0,Amaury,75,22
4,Alex Y,16,Martin H,,Truuvy,V,Alex Y,,Alejo,V,Vincent,V,Vadym,1474,2.0,Alejo,67,22
5,Vadym,9,Enrik,,Vadym,V,Vincent,V,Truuvy,,Alex Y,V,Alex Y,1342,16.0,Martin H,61,22
6,Amaury,24,_,,Willie,,Amaury,,Alex Y,V,Amaury,,Amaury,1210,17.0,Richard B,55,22
7,Tom,25,_,,Marinko,,Tom,,Amaury,V,Truuvy,V,Truuvy,1122,12.0,Willie,51,22
8,Truuvy,8,Truuvy,,Alex Y,V,Alejo,V,Tom,,Tom,,Tom,1034,7.0,Tom,47,22
9,Enrik,5,Vadym,,Vincent,V,Richard B,,Enrik,V,Enrik,,Steph,946,13.0,Perth,43,22
10,Clemens,28,_,,Vivian,,Enrik,V,Willie,,Steph,V,Enrik,880,18.0,Lukas N,40,22
11,Steph,21,_,,Steph,,Willie,V,Steph,V,Willie,,Clemens,814,19.0,Pablo,37,22
12,Willie,12,Willie,,Amaury,V,Marinko,,Clemens,,Clemens,V,Willie,748,15.0,Will P,34,22
13,Perth,13,Perth,,Tom,V,Vivian,,Richard B,V,Richard B,,Vivian,682,,,31,22
14,Vivian,20,Marinko,V,Clemens,,Steph,V,Marinko,,Vivian,V,Richard B,616,4.0,Alex Y,28,22
15,Will P,29,_,,Will P,,Clemens,V,Vivian,V,Marinko,,Will P,572,11.0,Steph,26,22
16,Martin H,4,Alex Y,,Alejo,V,Will P,,Will P,,Will P,V,Marinko,528,8.0,Truuvy,24,22
17,Richard B,3,Vincent,,_,,Martin H,,Martin H,V,Martin H,V,Martin H,484,10.0,Clemens,22,22
18,Lukas N,30,_,,Martin H,,_,,Perth,,Lukas N,,Lukas N,440,3.0,Vincent,20,22
19,Pablo,19,Pablo,,_,,_,,Pablo,,Perth,,Pablo,396,9.0,Enrik,18,22
20,Marinko,14,Vivian,V,_,,Perth,,Lukas N,V,Pablo,V,Perth,352,20.0,Marinko,16,22
21,_,11,Steph,,_,,Pablo,,_,,_,,_,308,14.0,Vivian,14,22
22,_,22,_,,_,,_,,_,,_,,_,264,5.0,Vadym,12,22
23,_,27,_,,Perth,,_,,_,,_,,_,220,,,10,22
24,_,6,Amaury,,_,,Lukas N,,_,,_,,_,198,,,9,22
25,_,7,Tom,,_,,_,,_,,_,,_,176,,,8,22
26,_,26,_,,Pablo,,_,,_,,_,,_,154,,,7,22
27,_,23,_,,_,,_,,_,,_,,_,132,,,6,22
28,_,10,Clemens,,_,,_,,_,,_,,_,110,,,5,22
29,_,15,Will P,V,_,,_,,_,,_,,_,88,,,4,22
30,_,18,Lukas N,,_,,_,,_,,_,,_,66,,,3,22
31,_,31,_,,Lukas N,,_,,_,,_,,_,44,,,2,22
32,_,2,Alejo,,_,,_,,_,,_,,_,22,,,1,22
