Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Sammy,1,Sammy,,Sammy,,Sammy,V,Sammy,,Greg,V,Greg,1600,2.0,Will P,100,16
2,Will P,32,_,,_,,Vivian,,Greg,V,Will P,,Will P,1360,6.0,Vadym,85,16
3,Colin R,17,_,,Vivian,V,Greg,V,Enrik,,Sammy,V,Sammy,1200,11.0,Pablo,75,16
4,Roeland,16,_,,Alejo,,Roeland,,Will P,V,Enrik,,Enrik,1072,5.0,Greg,67,16
5,Greg,9,Vivian,,Greg,V,Enrik,V,Vivian,V,Vivian,V,Vivian,976,9.0,Vivian,61,16
6,Vadym,24,_,,Eugene,,Vadym,,Roeland,,Vadym,,Vadym,880,7.0,Charlie ,55,16
7,Charlie ,25,_,,Alonzo,,Charlie ,,Vadym,V,Roeland,V,Roeland,816,3.0,Colin R,51,16
8,Alejo,8,Alejo,,Roeland,V,Will P,V,Charlie ,,Charlie ,,Charlie ,752,12.0,Eugene,47,16
9,Vivian,5,Greg,,Colin R,,_,,Alejo,,Alonzo,,Colin R,688,8.0,Alejo,43,16
10,Steph,28,_,,Enrik,V,Alejo,,Alonzo,V,Colin R,V,Alonzo,640,13.0,Alonzo,40,16
11,Pablo,21,_,,Pablo,,Eugene,,Colin R,V,Alejo,,Lukas N,592,15.0,Lukas N,37,16
12,Eugene,12,Eugene,,Vadym,V,Alonzo,V,Lukas N,,Lukas N,V,Alejo,544,10.0,Steph,34,16
13,Alonzo,13,Alonzo,,Charlie ,V,Colin R,V,_,,Eugene,,Steph,496,,,31,16
14,Enrik,20,_,,Steph,,Pablo,,Eugene,,Steph,V,Eugene,448,14.0,Enrik,28,16
15,Lukas N,29,_,,Lukas N,,Steph,,Pablo,,_,,Pablo,416,1.0,Sammy,26,16
16,_,4,Roeland,,Will P,V,Lukas N,V,Steph,V,Pablo,,_,384,4.0,Roeland,24,16
17,_,3,Colin R,,_,,_,,_,,_,,_,352,,,22,16
18,_,30,_,,_,,_,,_,,_,,_,320,,,20,16
19,_,19,_,,_,,_,,_,,_,,_,288,,,18,16
20,_,14,Enrik,,_,,_,,_,,_,,_,256,,,16,16
21,_,11,Pablo,,_,,_,,_,,_,,_,224,,,14,16
22,_,22,_,,_,,_,,_,,_,,_,192,,,12,16
23,_,27,_,,_,,_,,_,,_,,_,160,,,10,16
24,_,6,Vadym,,_,,_,,_,,_,,_,144,,,9,16
25,_,7,Charlie ,,_,,_,,_,,_,,_,128,,,8,16
26,_,26,_,,_,,_,,_,,_,,_,112,,,7,16
27,_,23,_,,_,,_,,_,,_,,_,96,,,6,16
28,_,10,Steph,,_,,_,,_,,_,,_,80,,,5,16
29,_,15,Lukas N,,_,,_,,_,,_,,_,64,,,4,16
30,_,18,_,,_,,_,,_,,_,,_,48,,,3,16
31,_,31,_,,_,,_,,_,,_,,_,32,,,2,16
32,_,2,Will P,,_,,_,,_,,_,,_,16,,,1,16
