Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Greg,1,Greg,,Greg,,Greg,V,Greg,V,Greg,V,Greg,1600,1.0,Greg,100,16
2,Charlie ,32,_,,_,,Vivian,,Vadym,,Charlie ,,Charlie ,1360,5.0,Richard B,85,16
3,Alejo,17,_,,Tom,,Patrick L,,Alejo,,Vadym,,Alejo,1200,14.0,Maiya,75,16
4,Vadym,16,_,,Vivian,V,Vadym,V,Charlie ,V,Alejo,V,Vadym,1072,6.0,steffi,67,16
5,Richard B,9,Tom,,Richard B,,Alejo,V,Vivian,V,Vivian,V,Vivian,976,13.0,Lukas N,61,16
6,steffi,24,_,,Patrick L,V,Alex Y,,Patrick L,,Sammy,,Sammy,880,12.0,Patrick L,55,16
7,Colin R,25,_,,Lukas N,,Sammy,,Alex Y,,Patrick L,,Alex Y,816,11.0,Alex Y,51,16
8,Vivian,8,Vivian,,Vadym,V,Charlie ,V,Sammy,V,Alex Y,V,Patrick L,752,9.0,Tom,47,16
9,Tom,5,Richard B,,Alejo,V,_,,Tom,,Lukas N,,Colin R,688,,,43,16
10,Sammy,28,_,,Maiya,,Tom,,Lukas N,V,Colin R,V,Lukas N,640,15.0,Andy R,40,16
11,Alex Y,21,_,,Alex Y,V,Richard B,,Maiya,,Tom,,Maiya,592,7.0,Colin R,37,16
12,Patrick L,12,Patrick L,,steffi,,Lukas N,V,Colin R,V,Maiya,V,Tom,544,4.0,Vadym,34,16
13,Lukas N,13,Lukas N,,Colin R,,Maiya,V,_,,Richard B,,steffi,496,8.0,Vivian,31,16
14,Maiya,20,_,,Sammy,V,steffi,,Richard B,,steffi,V,Richard B,448,3.0,Alejo,28,16
15,Andy R,29,_,,Andy R,,Colin R,V,steffi,V,_,,Andy R,416,10.0,Sammy,26,16
16,_,4,Vadym,,Charlie ,V,Andy R,,Andy R,,Andy R,,_,384,2.0,Charlie ,24,16
17,_,3,Alejo,,_,,_,,_,,_,,_,352,,,22,16
18,_,30,_,,_,,_,,_,,_,,_,320,,,20,16
19,_,19,_,,_,,_,,_,,_,,_,288,,,18,16
20,_,14,Maiya,,_,,_,,_,,_,,_,256,,,16,16
21,_,11,Alex Y,,_,,_,,_,,_,,_,224,,,14,16
22,_,22,_,,_,,_,,_,,_,,_,192,,,12,16
23,_,27,_,,_,,_,,_,,_,,_,160,,,10,16
24,_,6,steffi,,_,,_,,_,,_,,_,144,,,9,16
25,_,7,Colin R,,_,,_,,_,,_,,_,128,,,8,16
26,_,26,_,,_,,_,,_,,_,,_,112,,,7,16
27,_,23,_,,_,,_,,_,,_,,_,96,,,6,16
28,_,10,Sammy,,_,,_,,_,,_,,_,80,,,5,16
29,_,15,Andy R,,_,,_,,_,,_,,_,64,,,4,16
30,_,18,_,,_,,_,,_,,_,,_,48,,,3,16
31,_,31,_,,_,,_,,_,,_,,_,32,,,2,16
32,_,2,Charlie ,,_,,_,,_,,_,,_,16,,,1,16
