Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Alex A,1,Alex A,,Alex A,,Alex A,V,Alex A,V,Alex A,V,Alex A,1100,,,100,11
2,Greg,32,_,,_,,John H,,Will P,,Greg,,Greg,935,7.0,Giles,85,11
3,Tom,17,_,,_,,Will P,V,Tom,,Will P,,Tom,825,,,75,11
4,Eugene,16,_,,John H,,Eugene,,Greg,V,Tom,V,Will P,737,5.0,Will P,67,11
5,Will P,9,_,,Will P,,Tom,V,John H,V,John H,V,John H,671,4.0,Eugene,61,11
6,Colin R,24,_,,_,,Colin R,,Eugene,,Giles,,Giles,605,2.0,Greg,55,11
7,Giles,25,_,,_,,Giles,,Colin R,,Eugene,V,Eugene,561,3.0,Tom,51,11
8,John H,8,John H,,Eugene,,Greg,V,Giles,V,Colin R,,Colin R,517,1.0,Alex A,47,11
9,_,5,Will P,,Tom,,_,,_,,_,,_,473,6.0,Colin R,43,11
10,_,28,_,,_,,_,,_,,_,,_,440,,,40,11
11,_,21,_,,_,,_,,_,,_,,_,407,8.0,John H,37,11
12,_,12,_,,Colin R,,_,,_,,_,,_,374,,,34,11
13,_,13,_,,Giles,,_,,_,,_,,_,341,,,31,11
14,_,20,_,,_,,_,,_,,_,,_,308,,,28,11
15,_,29,_,,_,,_,,_,,_,,_,286,,,26,11
16,_,4,Eugene,,Greg,,_,,_,,_,,_,264,,,24,11
17,_,3,Tom,,_,,_,,_,,_,,_,242,,,22,11
18,_,30,_,,_,,_,,_,,_,,_,220,,,20,11
19,_,19,_,,_,,_,,_,,_,,_,198,,,18,11
20,_,14,_,,_,,_,,_,,_,,_,176,,,16,11
21,_,11,_,,_,,_,,_,,_,,_,154,,,14,11
22,_,22,_,,_,,_,,_,,_,,_,132,,,12,11
23,_,27,_,,_,,_,,_,,_,,_,110,,,10,11
24,_,6,Colin R,,_,,_,,_,,_,,_,99,,,9,11
25,_,7,Giles,,_,,_,,_,,_,,_,88,,,8,11
26,_,26,_,,_,,_,,_,,_,,_,77,,,7,11
27,_,23,_,,_,,_,,_,,_,,_,66,,,6,11
28,_,10,_,,_,,_,,_,,_,,_,55,,,5,11
29,_,15,_,,_,,_,,_,,_,,_,44,,,4,11
30,_,18,_,,_,,_,,_,,_,,_,33,,,3,11
31,_,31,_,,_,,_,,_,,_,,_,22,,,2,11
32,_,2,Greg,,_,,_,,_,,_,,_,11,,,1,11
