Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Eric L,1,Eric L,,Eric L,,Eric L,,Vivian,V,Vivian,,Greg,1400,10.0,Lukas N,100,14
2,Greg,32,_,,_,,Vivian,V,Karsten,,Greg,V,Vivian,1190,,,85,14
3,Vincent,17,_,,Enrik,,Karsten,V,Vincent,,Karsten,V,Karsten,1050,1.0,Eric L,75,14
4,Alejo,16,_,,Vivian,V,Alejo,,Greg,V,Vincent,,Vincent,938,,,67,14
5,Karsten,9,Enrik,,Karsten,,Vincent,V,Eric L,,Alejo,V,Alejo,854,2.0,Greg,61,14
6,Will P,24,_,,_,,Will P,,Alejo,V,Vadym,,Vadym,770,,,55,14
7,Vadym,25,_,,_,,Vadym,,Will P,,Eric L,V,Eric L,714,7.0,Vadym,51,14
8,Vivian,8,Vivian,,Alejo,,Greg,V,Vadym,V,Will P,,Will P,658,6.0,Will P,47,14
9,Enrik,5,Karsten,,Vincent,,_,,Enrik,,Enrik,V,Enrik,602,8.0,Vivian,43,14
10,Lukas N,28,_,,_,,Enrik,,_,,Lukas N,,Lukas N,560,9.0,Enrik,40,14
11,Andy R,21,_,,Andy R,,_,,Andy R,,_,,Andy R,518,5.0,Karsten,37,14
12,_,12,_,,Will P,V,_,,Lukas N,V,Andy R,,_,476,4.0,Alejo,34,14
13,_,13,_,,Vadym,V,_,,_,,_,,_,434,3.0,Vincent,31,14
14,_,20,_,,Lukas N,,Andy R,,_,,_,,_,392,11.0,Andy R,28,14
15,_,29,_,,_,,Lukas N,,_,,_,,_,364,,,26,14
16,_,4,Alejo,,Greg,,_,,_,,_,,_,336,,,24,14
17,_,3,Vincent,,_,,_,,_,,_,,_,308,,,22,14
18,_,30,_,,_,,_,,_,,_,,_,280,,,20,14
19,_,19,_,,_,,_,,_,,_,,_,252,,,18,14
20,_,14,_,,_,,_,,_,,_,,_,224,,,16,14
21,_,11,Andy R,,_,,_,,_,,_,,_,196,,,14,14
22,_,22,_,,_,,_,,_,,_,,_,168,,,12,14
23,_,27,_,,_,,_,,_,,_,,_,140,,,10,14
24,_,6,Will P,,_,,_,,_,,_,,_,126,,,9,14
25,_,7,Vadym,,_,,_,,_,,_,,_,112,,,8,14
26,_,26,_,,_,,_,,_,,_,,_,98,,,7,14
27,_,23,_,,_,,_,,_,,_,,_,84,,,6,14
28,_,10,Lukas N,,_,,_,,_,,_,,_,70,,,5,14
29,_,15,_,,_,,_,,_,,_,,_,56,,,4,14
30,_,18,_,,_,,_,,_,,_,,_,42,,,3,14
31,_,31,_,,_,,_,,_,,_,,_,28,,,2,14
32,_,2,Greg,,_,,_,,_,,_,,_,14,,,1,14
