Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Eric L,1,Eric L,,Eric L,,Eric L,,Sammy,V,Sammy,,Greg,1600,7.0,Lukas,100,16
2,Greg,32,_,,_,,Sammy,V,Charlie ,,Greg,V,Sammy,1360,14.0,Richard B,85,16
3,Alejo,17,_,,Vivian,,Charlie ,V,Alejo,,Charlie ,,Alejo,1200,1.0,Eric L,75,16
4,Vincent,16,_,,Sammy,V,Vincent,,Greg,V,Alejo,V,Charlie ,1072,2.0,Greg,67,16
5,Charlie ,9,Vivian,,Charlie ,V,Alejo,V,Eric L,,Vincent,V,Vincent,976,15.0,Nat,61,16
6,Alex A,24,_,,Jonathan,,Alex A,,Vincent,V,Alex A,,Alex A,880,6.0,Alex A,55,16
7,Lukas,25,_,,Marinko,,Colin R,,Alex A,V,Eric L,,Colin R,816,4.0,Vincent,51,16
8,Sammy,8,Sammy,,Vincent,V,Greg,V,Colin R,,Colin R,V,Eric L,752,,,47,16
9,Vivian,5,Charlie ,,Alejo,V,_,,Vivian,V,Vivian,V,Vivian,688,12.0,Jonathan,43,16
10,Colin R,28,_,,Richard B,,Vivian,,Marinko,,Eugene,,Eugene,640,9.0,Vivian,40,16
11,Eugene,21,_,,Eugene,,Jonathan,,Eugene,V,Marinko,,Lukas,592,5.0,Charlie ,37,16
12,Jonathan,12,Jonathan,,Alex A,V,Marinko,V,Lukas,,Lukas,V,Marinko,544,11.0,Eugene,34,16
13,Marinko,13,Marinko,,Lukas,,Richard B,,_,,Jonathan,,Richard B,496,10.0,Colin R,31,16
14,Richard B,20,_,,Colin R,V,Eugene,V,Jonathan,,Richard B,V,Jonathan,448,3.0,Alejo,28,16
15,Nat,29,_,,Nat,,Lukas,V,Richard B,V,_,,Nat,416,13.0,Marinko,26,16
16,_,4,Vincent,,Greg,V,Nat,,Nat,,Nat,,_,384,8.0,Sammy,24,16
17,_,3,Alejo,,_,,_,,_,,_,,_,352,,,22,16
18,_,30,_,,_,,_,,_,,_,,_,320,,,20,16
19,_,19,_,,_,,_,,_,,_,,_,288,,,18,16
20,_,14,Richard B,,_,,_,,_,,_,,_,256,,,16,16
21,_,11,Eugene,,_,,_,,_,,_,,_,224,,,14,16
22,_,22,_,,_,,_,,_,,_,,_,192,,,12,16
23,_,27,_,,_,,_,,_,,_,,_,160,,,10,16
24,_,6,Alex A,,_,,_,,_,,_,,_,144,,,9,16
25,_,7,Lukas,,_,,_,,_,,_,,_,128,,,8,16
26,_,26,_,,_,,_,,_,,_,,_,112,,,7,16
27,_,23,_,,_,,_,,_,,_,,_,96,,,6,16
28,_,10,Colin R,,_,,_,,_,,_,,_,80,,,5,16
29,_,15,Nat,,_,,_,,_,,_,,_,64,,,4,16
30,_,18,_,,_,,_,,_,,_,,_,48,,,3,16
31,_,31,_,,_,,_,,_,,_,,_,32,,,2,16
32,_,2,Greg,,_,,_,,_,,_,,_,16,,,1,16
