Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Garen ,1,Garen ,,Garen ,V,Garen ,V,Garen ,V,Garen ,V,Garen ,2200,10.0,Vincent,100,22
2,Greg,32,_,,Alonzozo,,Jonathan,,Tom,,Sammy,,Sammy,1870,,,85,22
3,Eric L,17,Alonzozo,V,Richard B,,Charlie ,,Sammy,V,Tom,V,Tom,1650,3.0,Eric L,75,22
4,Tom,16,Steph,,Jonathan,V,Tom,V,Vincent,,Vincent,,Vincent,1474,11.0,Shevy,67,22
5,Willie,9,Richard B,,Willie,,Eric L,,Jonathan,V,Jonathan,,Greg,1342,4.0,Tom,61,22
6,Sammy,24,_,,Charlie ,V,Sammy,V,Charlie ,,Greg,V,Jonathan,1210,15.0,Will P,55,22
7,Lukas N,25,_,,Colin R,,Vincent,V,Eric L,,Charlie ,,Eric L,1122,,,51,22
8,Jonathan,8,Jonathan,,Tom,V,Greg,,Greg,V,Eric L,V,Charlie ,1034,9.0,Richard B,47,22
9,Richard B,5,Willie,,Eric L,V,Alonzozo,V,Alonzozo,,Willie,,Lukas N,946,,,43,22
10,Vincent,28,_,,Eugene,,Richard B,,Willie,V,Lukas N,V,Willie,880,2.0,Greg,40,22
11,Shevy,21,_,,Shevy,,Willie,V,Shevy,,Alonzozo,,Shevy,814,7.0,Lukas N,37,22
12,Charlie ,12,Charlie ,,Sammy,V,Colin R,,Lukas N,V,Shevy,V,Alonzozo,748,8.0,Jonathan,34,22
13,Colin R,13,Colin R,,Lukas N,,Eugene,,Richard B,V,Richard B,V,Richard B,682,1.0,Garen ,31,22
14,Eugene,20,_,,Vincent,V,Shevy,V,Colin R,,Will P,,Will P,616,17.0,Alonzozo,28,22
15,Will P,29,_,,Will P,,Lukas N,V,Eugene,,Colin R,,Eugene,572,13.0,Colin R,26,22
16,Steph,4,Tom,,Greg,V,Will P,,Will P,V,Eugene,V,Colin R,528,5.0,Willie,24,22
17,Alonzozo,3,Eric L,,_,,Steph,,Steph,,Steph,,Steph,484,14.0,Eugene,22,22
18,_,30,_,,Steph,,_,,_,,_,,_,440,16.0,Steph,20,22
19,_,19,_,,_,,_,,_,,_,,_,396,12.0,Charlie ,18,22
20,_,14,Eugene,,_,,_,,_,,_,,_,352,6.0,Sammy,16,22
21,_,11,Shevy,,_,,_,,_,,_,,_,308,,,14,22
22,_,22,_,,_,,_,,_,,_,,_,264,,,12,22
23,_,27,_,,_,,_,,_,,_,,_,220,,,10,22
24,_,6,Sammy,,_,,_,,_,,_,,_,198,,,9,22
25,_,7,Lukas N,,_,,_,,_,,_,,_,176,,,8,22
26,_,26,_,,_,,_,,_,,_,,_,154,,,7,22
27,_,23,_,,_,,_,,_,,_,,_,132,,,6,22
28,_,10,Vincent,,_,,_,,_,,_,,_,110,,,5,22
29,_,15,Will P,,_,,_,,_,,_,,_,88,,,4,22
30,_,18,_,,_,,_,,_,,_,,_,66,,,3,22
31,_,31,_,,_,,_,,_,,_,,_,44,,,2,22
32,_,2,Greg,,_,,_,,_,,_,,_,22,,,1,22
