Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Greg,1,Greg,,Greg,,Greg,V,Greg,,Charlie ,V,Charlie ,1900,14.0,Fergus,100,19
2,Lukas,32,_,,_,,Pablo,,Charlie ,V,Tom T,,Tom T,1615,3.0,Tom T,85,19
3,Tom T,17,_,,Pablo,V,Jonathan,,Tom T,V,Greg,,Willie,1425,11.0,Julia T,75,19
4,Charlie ,16,_,,Caden,,Charlie ,V,Willie,,Willie,V,Greg,1273,,,67,19
5,Jonathan,9,Pablo,,Jonathan,V,Tom T,V,Pablo,V,Pablo,,Vivian,1159,2.0,Lukas,61,19
6,Vivian,24,_,,Alonzo,,Vivian,,Jonathan,,Vivian,V,Pablo,1045,,,55,19
7,Willie,25,_,,Sammy,,Willie,V,Vivian,V,Jonathan,,Eugene,969,1.0,Greg,51,19
8,Caden,8,Caden,,Charlie ,V,Eugene,,Eugene,,Eugene,V,Jonathan,893,5.0,Jonathan,47,19
9,Pablo,5,Jonathan,,Tom T,V,_,,Caden,,Sammy,V,Sammy,817,13.0,Sammy,43,19
10,Etienne,28,_,,Fergus,,Caden,,Sammy,V,Lukas,,Lukas,760,7.0,Willie,40,19
11,Julia T,21,_,,Julia T,,Alonzo,,Julia T,,Caden,,Julia T,703,,,37,19
12,Alonzo,12,Alonzo,,Vivian,V,Sammy,V,Lukas,V,Julia T,V,Caden,646,9.0,Pablo,34,19
13,Sammy,13,Sammy,,Willie,V,Fergus,,_,,Alonzo,,Etienne,589,15.0,Eugene,31,19
14,Fergus,20,_,,Etienne,,Julia T,V,Alonzo,V,Etienne,V,Alonzo,532,12.0,Alonzo,28,19
15,Eugene,29,_,,Eugene,V,Etienne,,Fergus,,_,,Fergus,494,,,26,19
16,_,4,Charlie ,,Lukas,,Lukas,V,Etienne,V,Fergus,,_,456,4.0,Charlie ,24,19
17,_,3,Tom T,,_,,_,,_,,_,,_,418,8.0,Caden,22,19
18,_,30,_,,_,,_,,_,,_,,_,380,10.0,Etienne,20,19
19,_,19,_,,_,,_,,_,,_,,_,342,6.0,Vivian,18,19
20,_,14,Fergus,,_,,_,,_,,_,,_,304,,,16,19
21,_,11,Julia T,,_,,_,,_,,_,,_,266,,,14,19
22,_,22,_,,_,,_,,_,,_,,_,228,,,12,19
23,_,27,_,,_,,_,,_,,_,,_,190,,,10,19
24,_,6,Vivian,,_,,_,,_,,_,,_,171,,,9,19
25,_,7,Willie,,_,,_,,_,,_,,_,152,,,8,19
26,_,26,_,,_,,_,,_,,_,,_,133,,,7,19
27,_,23,_,,_,,_,,_,,_,,_,114,,,6,19
28,_,10,Etienne,,_,,_,,_,,_,,_,95,,,5,19
29,_,15,Eugene,,_,,_,,_,,_,,_,76,,,4,19
30,_,18,_,,_,,_,,_,,_,,_,57,,,3,19
31,_,31,_,,_,,_,,_,,_,,_,38,,,2,19
32,_,2,Lukas,,_,,_,,_,,_,,_,19,,,1,19
