Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Fassel,1,Fassel,,Fassel,V,Fassel,,Greg,V,Greg,V,Greg,2600,5.0,Richard B,100,26
2,Charlie ,32,_,,Will P,,Greg,V,Willie,,Tom T,,Tom T,2210,10.0,Vincent,85,26
3,Vivian,17,Will P,V,LUKAS,,Richard B,,Tom T,V,Willie,V,Willie,1950,,,75,26
4,Willie,16,John H,,Greg,V,Willie,V,Charlie ,,Charlie ,,Charlie ,1742,8.0,Greg,67,26
5,Richard B,9,LUKAS,,Richard B,V,Vivian,,Fassel,V,Fassel,V,Fassel,1586,12.0,Eugene,61,26
6,Tom T,24,_,,Eugene,,Tom T,V,Richard B,,Roeland,,Roeland,1430,3.0,Vivian,55,26
7,Roeland,25,_,,Will W,,Roeland,,Vivian,,Richard B,,Vivian,1326,,,51,26
8,Greg,8,Greg,,Willie,V,Charlie ,V,Roeland,V,Vivian,V,Richard B,1222,18.0,Marinko,47,26
9,LUKAS,5,Richard B,,Vivian,V,Will P,,LUKAS,,Will W,,Vincent,1118,7.0,Roeland,43,26
10,Vincent,28,_,,Caden,,LUKAS,V,Will W,V,Vincent,V,Will W,1040,17.0,Will P,40,26
11,Colin R,21,_,,Colin R,,Eugene,,Colin R,,LUKAS,,Colin R,962,4.0,Willie,37,26
12,Eugene,12,Eugene,,Tom T,V,Will W,V,Vincent,V,Colin R,V,LUKAS,884,,,34,26
13,Vadym,13,Vadym,,Roeland,V,Caden,,Will P,V,Will P,,,806,6.0,Tom T,31,26
14,Caden,20,Will W,V,Vincent,,Colin R,V,Eugene,,Caden,,,728,1.0,Fassel,28,26
15,Joshua,29,_,,Marinko,,Vincent,V,Caden,V,Eugene,,Marinko,676,9.0,LUKAS,26,26
16,John H,4,Willie,,Charlie ,V,Marinko,,Marinko,,Marinko,V,Eugene,624,,,24,26
17,Will P,3,Vivian,,_,,John H,,John H,,Vadym,,Adrian L,572,,,22,26
18,Marinko,30,_,,John H,,_,,Vadym,V,Adrian L,V,Vadym,520,14.0,Caden,20,26
19,Adrian L,19,Adrian L,,_,,_,,Adrian L,V,John H,V,John H,468,19.0,Adrian L,18,26
20,Will W,14,Caden,V,_,,Vadym,,Joshua,,Joshua,,Joshua,416,,,16,26
21,_,11,Colin R,,_,,Adrian L,,_,,_,,_,364,16.0,John H,14,26
22,_,22,_,,_,,_,,_,,_,,_,312,15.0,Joshua,12,26
23,_,27,_,,Vadym,,_,,_,,_,,_,260,11.0,Colin R,10,26
24,_,6,Tom T,,_,,Joshua,,_,,_,,_,234,20.0,Will W,9,26
25,_,7,Roeland,,_,,_,,_,,_,,_,208,2.0,Charlie ,8,26
26,_,26,_,,Adrian L,,_,,_,,_,,_,182,13.0,Vadym,7,26
27,_,23,_,,_,,_,,_,,_,,_,156,,,6,26
28,_,10,Vincent,,_,,_,,_,,_,,_,130,,,5,26
29,_,15,Joshua,,_,,_,,_,,_,,_,104,,,4,26
30,_,18,Marinko,V,_,,_,,_,,_,,_,78,,,3,26
31,_,31,_,,Joshua,,_,,_,,_,,_,52,,,2,26
32,_,2,Charlie ,,_,,_,,_,,_,,_,26,,,1,26
