Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Greg,1,Greg,,Greg,V,Greg,V,Greg,V,Greg,,Sameer,2100,10.0,Richard B,100,21
2,Alejo,32,_,,Fergus,,Willie,,Charlie ,,Sameer,V,Greg,1785,12.0,Shevy,85,21
3,Eric L,17,Alonzo,,Willie,V,Fassel,,Sameer,V,Charlie ,V,Charlie ,1575,3.0,Eric L,75,21
4,Charlie ,16,Fergus,V,John H,,Charlie ,V,aisling ,,aisling ,,aisling ,1407,14.0,Vivian,67,21
5,Fassel,9,Willie,,Fassel,V,Eric L,,Willie,,Fassel,V,Fassel,1281,7.0,Lukas,61,21
6,Steph,24,_,,Shevy,,Sameer,V,Fassel,V,Eric L,,Eric L,1155,11.0,Sameer,55,21
7,Lukas,25,_,,Colin R,,Lukas,,Eric L,V,Willie,,Lukas,1071,1.0,Greg,51,21
8,John H,8,John H,,Charlie ,V,aisling ,V,Lukas,,Lukas,V,Willie,987,8.0,John H,47,21
9,Willie,5,Fassel,,Eric L,V,Fergus,,John H,V,John H,V,John H,903,,,43,21
10,Richard B,28,_,,Vivian,,John H,V,Colin R,,Vivian,,Vivian,840,17.0,Alonzo,40,21
11,Sameer,21,_,,Sameer,V,Shevy,,Vivian,V,Colin R,,Richard B,777,19.0,Caden,37,21
12,Shevy,12,Shevy,,Steph,,Colin R,V,Richard B,,Richard B,V,Colin R,714,,,34,21
13,Colin R,13,Colin R,,Lukas,V,Vivian,V,Fergus,V,Fergus,,Steph,651,15.0,Matilda,31,21
14,Vivian,20,_,,Richard B,,Steph,,Shevy,,Steph,V,Fergus,588,5.0,Fassel,28,21
15,Matilda,29,_,,aisling ,V,Richard B,V,Steph,V,Shevy,,Alejo,546,6.0,Steph,26,21
16,Fergus,4,Charlie ,,Alejo,,Alejo,,Alejo,,Alejo,V,Shevy,504,16.0,Fergus,24,21
17,Alonzo,3,Eric L,,_,,Alonzo,,Alonzo,,Alonzo,,Matilda,462,13.0,Colin R,22,21
18,aisling ,30,_,,Alonzo,,_,,_,,Matilda,V,Alonzo,420,4.0,Charlie ,20,21
19,Caden,19,Caden,,_,,_,,Caden,,_,,Caden,378,9.0,Willie,18,21
20,_,14,Vivian,V,_,,_,,Matilda,V,Caden,,_,336,18.0,aisling ,16,21
21,_,11,Sameer,,_,,Caden,,_,,_,,_,294,2.0,Alejo,14,21
22,_,22,_,,_,,_,,_,,_,,_,252,,,12,21
23,_,27,_,,_,,_,,_,,_,,_,210,,,10,21
24,_,6,Steph,,_,,Matilda,,_,,_,,_,189,,,9,21
25,_,7,Lukas,,_,,_,,_,,_,,_,168,,,8,21
26,_,26,_,,Caden,,_,,_,,_,,_,147,,,7,21
27,_,23,_,,_,,_,,_,,_,,_,126,,,6,21
28,_,10,Richard B,,_,,_,,_,,_,,_,105,,,5,21
29,_,15,Matilda,,_,,_,,_,,_,,_,84,,,4,21
30,_,18,aisling ,V,_,,_,,_,,_,,_,63,,,3,21
31,_,31,_,,Matilda,,_,,_,,_,,_,42,,,2,21
32,_,2,Alejo,,_,,_,,_,,_,,_,21,,,1,21
