Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Vivian,1,Vivian,,Vivian,,Vivian,,Nikolas A,,Charlie ,V,Charlie ,1800,4.0,Charlie ,100,18
2,Greg,32,_,,_,,Nikolas A,V,Charlie ,V,Greg,,Greg,1530,8.0,Eric L,85,18
3,Tom T,17,_,,Nikolas A,V,Alex Y,,Vincent,,Nikolas A,V,Nikolas A,1350,12.0,Richard B,75,18
4,Charlie ,16,_,,Eric L,,Charlie ,V,Greg,V,Vincent,,Vincent,1206,7.0,Lukas N,67,18
5,Alex Y,9,Nikolas A,,Alex Y,V,Tom T,,Vivian,V,Vivian,,Tom T,1098,2.0,Greg,61,18
6,Vincent,24,_,,Richard B,,Vincent,V,Alex Y,,Tom T,V,Vivian,990,9.0,Nikolas A,55,18
7,Lukas N,25,_,,Caden,,Alejo,,Tom T,V,Alex Y,V,Alex Y,918,,,51,18
8,Eric L,8,Eric L,,Charlie ,V,Greg,V,Alejo,,Alejo,,Alejo,846,,,47,18
9,Nikolas A,5,Alex Y,,Tom T,V,_,,Eric L,,Caden,,Colin R,774,5.0,Alex Y,43,18
10,Alejo,28,_,,Colin R,,Eric L,,Caden,V,Colin R,V,Caden,720,11.0,Matilda,40,18
11,Matilda,21,_,,Matilda,,Richard B,,Colin R,V,Eric L,,Lukas N,666,15.0,Alix S,37,18
12,Richard B,12,Richard B,,Vincent,V,Caden,V,Lukas N,,Lukas N,V,Eric L,612,,,34,18
13,Caden,13,Caden,,Lukas N,,Colin R,V,_,,Richard B,V,Richard B,558,10.0,Alejo,31,18
14,Colin R,20,_,,Alejo,V,Matilda,,Richard B,,Alix S,,Alix S,504,3.0,Tom T,28,18
15,Alix S,29,_,,Alix S,,Lukas N,V,Matilda,,_,,Matilda,468,14.0,Colin R,26,18
16,_,4,Charlie ,,Greg,V,Alix S,,Alix S,V,Matilda,,_,432,6.0,Vincent,24,18
17,_,3,Tom T,,_,,_,,_,,_,,_,396,1.0,Vivian,22,18
18,_,30,_,,_,,_,,_,,_,,_,360,13.0,Caden,20,18
19,_,19,_,,_,,_,,_,,_,,_,324,,,18,18
20,_,14,Colin R,,_,,_,,_,,_,,_,288,,,16,18
21,_,11,Matilda,,_,,_,,_,,_,,_,252,,,14,18
22,_,22,_,,_,,_,,_,,_,,_,216,,,12,18
23,_,27,_,,_,,_,,_,,_,,_,180,,,10,18
24,_,6,Vincent,,_,,_,,_,,_,,_,162,,,9,18
25,_,7,Lukas N,,_,,_,,_,,_,,_,144,,,8,18
26,_,26,_,,_,,_,,_,,_,,_,126,,,7,18
27,_,23,_,,_,,_,,_,,_,,_,108,,,6,18
28,_,10,Alejo,,_,,_,,_,,_,,_,90,,,5,18
29,_,15,Alix S,,_,,_,,_,,_,,_,72,,,4,18
30,_,18,_,,_,,_,,_,,_,,_,54,,,3,18
31,_,31,_,,_,,_,,_,,_,,_,36,,,2,18
32,_,2,Greg,,_,,_,,_,,_,,_,18,,,1,18
