Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Vivian,1,Vivian,,Vivian,V,Vivian,,Anna A,V,Anna A,,Eric L,2200,2.0,Eric L,100,22
2,Eric L,32,_,,Joshua,,Anna A,V,Charlie,,Eric L,V,Anna A,1870,12.0,Charlie,85,22
3,Alex Y,17,Joshua,V,Anna A,V,Charlie,V,Willie,,Charlie,,Willie,1650,6.0,Willie,75,22
4,Tom T,16,Eugene,,Vincent,,Tom T,,Eric L,V,Willie,V,Charlie,1474,15.0,Kirill,67,22
5,Caden,9,Anna A,,Caden,,Alex Y,,Vivian,,Tom T,,Anna Z,1342,18.0,Maxim,61,22
6,Willie,24,_,,Charlie,V,Willie,V,Tom T,V,Anna Z,V,Tom T,1210,16.0,Eugene,55,22
7,Anna Z,25,_,,Alejo,,Anna Z,,Alex Y,,Vivian,V,Vivian,1122,3.0,Alex Y,51,22
8,Vincent,8,Vincent,,Tom T,V,Eric L,V,Anna Z,V,Alex Y,,Alex Y,1034,,,47,22
9,Anna A,5,Caden,,Alex Y,V,Joshua,,Vincent,V,Vincent,V,Vincent,946,9.0,Anna A,43,22
10,Steph,28,_,,Alix S,,Vincent,V,Alejo,,Maxim,,Maxim,880,4.0,Tom T,40,22
11,Matilda,21,_,,Matilda,,Caden,,Matilda,,Alejo,V,Alejo,814,19.0,Alix S,37,22
12,Charlie,12,Charlie,,Willie,V,Alejo,V,Maxim,V,Matilda,,Matilda,748,11.0,Matilda,34,22
13,Alejo,13,Alejo,V,Anna Z,V,Alix S,,Joshua,,Caden,V,Caden,682,,,31,22
14,Andy R,20,Fergus,,Steph,,Matilda,V,Caden,V,Alix S,,Alix S,616,7.0,Anna Z,28,22
15,Kirill,29,_,,Maxim,,Steph,,Alix S,V,Joshua,V,Joshua,572,20.0,Fergus,26,22
16,Eugene,4,Tom T,,Eric L,V,Maxim,V,Steph,,Steph,,Steph,528,17.0,Joshua,24,22
17,Joshua,3,Alex Y,,_,,Eugene,,Eugene,,Fergus,,Andy R,484,5.0,Caden,22,22
18,Maxim,30,_,,Eugene,,_,,Fergus,V,Andy R,V,Fergus,440,13.0,Alejo,20,22
19,Alix S,19,Alix S,V,_,,_,,Andy R,V,Eugene,,Kirill,396,8.0,Vincent,18,22
20,Fergus,14,Andy R,,_,,Fergus,,Kirill,,Kirill,V,Eugene,352,10.0,Steph,16,22
21,_,11,Matilda,,_,,Andy R,,_,,_,,_,308,14.0,Andy R,14,22
22,_,22,_,,_,,_,,_,,_,,_,264,1.0,Vivian,12,22
23,_,27,_,,Fergus,,_,,_,,_,,_,220,,,10,22
24,_,6,Willie,,_,,Kirill,,_,,_,,_,198,,,9,22
25,_,7,Anna Z,,_,,_,,_,,_,,_,176,,,8,22
26,_,26,_,,Andy R,,_,,_,,_,,_,154,,,7,22
27,_,23,_,,_,,_,,_,,_,,_,132,,,6,22
28,_,10,Steph,,_,,_,,_,,_,,_,110,,,5,22
29,_,15,Kirill,,_,,_,,_,,_,,_,88,,,4,22
30,_,18,Maxim,V,_,,_,,_,,_,,_,66,,,3,22
31,_,31,_,,Kirill,,_,,_,,_,,_,44,,,2,22
32,_,2,Eric L,,_,,_,,_,,_,,_,22,,,1,22
