Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Greg,1,Greg,,Greg,V,Greg,V,Greg,,Eric L,V,Eric L,2300,11.0,Charlie,100,23
2,Fassel,32,_,,Maxim,,Sammy,,Eric L,V,David Roig,,David Roig,1955,6.0,Vincent,85,23
3,David Roig,17,Joshua,,Sammy,V,Eric L,V,David Roig,V,Greg,V,Greg,1725,12.0,Richard B,75,23
4,Vivian,16,Maxim,V,Willie,,Oleg,,Darran,,Darran,,Darran,1541,5.0,Eric L,67,23
5,Eric L,9,Sammy,,Eric L,V,David Roig,V,Sammy,V,Sammy,V,Sammy,1403,3.0,David Roig,61,23
6,Vincent,24,_,,Richard B,,Vincent,,Oleg,,Fassel,,Fassel,1265,1.0,Greg,55,23
7,Anna A,25,_,,Oleg,V,Darran,V,Vincent,,Oleg,V,Oleg,1173,8.0,Willie,51,23
8,Willie,8,Willie,,Vivian,,Fassel,,Fassel,V,Vincent,,Vincent,1081,13.0,Oleg,47,23
9,Sammy,5,Eric L,,David Roig,V,Maxim,,Willie,V,Willie,V,Willie,989,19.0,Julia T,43,23
10,Darran,28,_,,Fergus,,Willie,V,Richard B,,Alex Y,,Alex Y,920,16.0,Maxim,40,23
11,Charlie,21,Eugene,,Charlie,,Richard B,V,Charlie,,Richard B,,Charlie,851,15.0,Alex Y,37,23
12,Richard B,12,Richard B,V,Vincent,V,Vivian,,Alex Y,V,Charlie,V,Richard B,782,10.0,Darran,34,23
13,Oleg,13,Oleg,V,Anna A,,Fergus,,Maxim,,Vivian,V,Vivian,713,14.0,Fergus,31,23
14,Fergus,20,Caden,,Darran,V,Charlie,V,Vivian,V,Fergus,,Fergus,644,21.0,Eugene,28,23
15,Alex Y,29,_,,Alex Y,,Anna A,,Fergus,V,Maxim,V,Maxim,598,7.0,Anna A,26,23
16,Maxim,4,Vivian,,Fassel,V,Alex Y,V,Anna A,,Anna A,,Anna A,552,18.0,Kirill,24,23
17,Joshua,3,David Roig,,_,,Joshua,,Joshua,V,Joshua,V,Joshua,506,22.0,Alix S,22,23
18,Kirill,30,_,,Joshua,,_,,Caden,,Kirill,,Kirill,460,17.0,Joshua,20,23
19,Julia T,19,Julia T,,_,,Eugene,,Alix S,,Caden,V,Caden,414,4.0,Vivian,18,23
20,Caden,14,Fergus,V,_,,Caden,V,Kirill,V,Alix S,,Alix S,368,,,16,23
21,Eugene,11,Charlie,V,_,,Julia T,,_,,Eugene,V,Eugene,322,20.0,Caden,14,23
22,Alix S,22,Alix S,,Eugene,,Alix S,V,Eugene,,Julia T,,Julia T,276,9.0,Sammy,12,23
23,_,27,_,,Caden,,_,,Julia T,,_,,_,230,2.0,Fassel,10,23
24,_,6,Vincent,,_,,Kirill,,_,,_,,_,207,,,9,23
25,_,7,Anna A,,_,,_,,_,,_,,_,184,,,8,23
26,_,26,_,,Julia T,,_,,_,,_,,_,161,,,7,23
27,_,23,_,,Alix S,,_,,_,,_,,_,138,,,6,23
28,_,10,Darran,,_,,_,,_,,_,,_,115,,,5,23
29,_,15,Alex Y,V,_,,_,,_,,_,,_,92,,,4,23
30,_,18,Kirill,,_,,_,,_,,_,,_,69,,,3,23
31,_,31,_,,Kirill,,_,,_,,_,,_,46,,,2,23
32,_,2,Fassel,,_,,_,,_,,_,,_,23,,,1,23
