Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Eric L,1,Eric L,,Eric L,V,Eric L,,Jack,,Greg,V,Greg,2300,1.0,Eric L,100,23
2,Anna Z,32,_,,Will P,,Jack,V,Greg,V,Willie,,Willie,1955,19.0,Fedor,85,23
3,Willie,17,Will P,V,Jack,V,Colin R,,Willie,V,Jack,,Anna Z,1725,6.0,Vincent,75,23
4,Greg,16,Eugene,,Max V,,Greg,V,Anna Z,,Anna Z,V,Jack,1541,4.0,Greg,67,23
5,Tom S,9,Jack,,Tom S,,Willie,V,Eric L,,Colin R,V,Colin R,1403,11.0,Caden,61,23
6,Vincent,24,_,,Colin R,V,Caden,,Colin R,V,Caden,,Caden,1265,20.0,Joshua,55,23
7,Tom T,25,_,,Perth,,Tom T,,Caden,V,Eric L,,Tom T,1173,3.0,Willie,51,23
8,Max V,8,Max V,,Greg,V,Anna Z,V,Tom T,,Tom T,V,Eric L,1081,17.0,Will P,47,23
9,Jack,5,Tom S,,Willie,V,Will P,V,Will P,V,Will P,,Alejo,989,5.0,Tom S,43,23
10,Darran,28,_,,Alejo,,Max V,,Tom S,,Alejo,V,Will P,920,13.0,Perth,40,23
11,Caden,21,Alix S,,Caden,V,Tom S,V,Alejo,V,Tom S,,Vivian,851,2.0,Anna Z,37,23
12,Colin R,12,Colin R,V,Vincent,,Perth,,Vivian,,Vivian,V,Tom S,782,18.0,Helen,34,23
13,Perth,13,Perth,V,Tom T,V,Alejo,V,Max V,V,Max V,,Darran,713,21.0,Alix S,31,23
14,Alejo,20,Joshua,,Darran,,Vincent,,Perth,,Darran,V,Max V,644,16.0,Eugene,28,23
15,Vivian,29,_,,Vivian,,Darran,,Vincent,,Perth,,Vincent,598,14.0,Alejo,26,23
16,Eugene,4,Greg,,Anna Z,V,Vivian,V,Darran,V,Vincent,V,Perth,552,22.0,Kirill,24,23
17,Will P,3,Willie,,_,,Eugene,,Eugene,V,Eugene,,Fedor,506,7.0,Tom T,22,23
18,Helen,30,_,,Eugene,,_,,Joshua,,Fedor,V,Eugene,460,15.0,Vivian,20,23
19,Fedor,19,Fedor,,_,,Alix S,,Fedor,V,Joshua,V,Joshua,414,9.0,Jack,18,23
20,Joshua,14,Alejo,V,_,,Joshua,V,Helen,,Helen,,Helen,368,23.0,Nat,16,23
21,Alix S,11,Caden,V,_,,Fedor,V,_,,Alix S,,Kirill,322,8.0,Max V,14,23
22,Kirill,22,Kirill,,Alix S,,Kirill,,Alix S,,Kirill,V,Alix S,276,12.0,Colin R,12,23
23,Nat,27,_,,Joshua,,Nat,,Kirill,V,_,,Nat,230,10.0,Darran,10,23
24,_,6,Vincent,,_,,Helen,V,Nat,,Nat,,_,207,,,9,23
25,_,7,Tom T,,_,,_,,_,,_,,_,184,,,8,23
26,_,26,_,,Fedor,,_,,_,,_,,_,161,,,7,23
27,_,23,Nat,,Kirill,,_,,_,,_,,_,138,,,6,23
28,_,10,Darran,V,_,,_,,_,,_,,_,115,,,5,23
29,_,15,Vivian,V,_,,_,,_,,_,,_,92,,,4,23
30,_,18,Helen,,Nat,,_,,_,,_,,_,69,,,3,23
31,_,31,_,,Helen,,_,,_,,_,,_,46,,,2,23
32,_,2,Anna Z,,_,,_,,_,,_,,_,23,,,1,23
