Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Vivian,1,Vivian,,Vivian,,Kirill IV,,Alejo,,Eric L,,Greg,2100,5.0,Eric L,100,21
2,Greg,32,_,,Kirill IV,V,Alejo,V,Eric L,V,Greg,V,Eric L,1785,12.0,Fedor,85,21
3,Willie,17,Marinko,,Alejo,V,Eric L,V,Willie,,Alejo,V,Alejo,1575,8.0,Vincent,75,21
4,Tom T,16,Kirill IV,V,Vincent,,Tom T,,Greg,V,Willie,,Willie,1407,2.0,Greg,67,21
5,Eric L,9,Alejo,,Eric L,V,Willie,V,Kirill IV,,Tom T,V,Tom T,1281,1.0,Vivian,61,21
6,Vadym,24,_,,Fedor,,Vadym,,Tom T,V,Vadym,,Vadym,1155,3.0,Willie,55,21
7,Tom S,25,_,,Colin R,,Oleg,,Vadym,V,Kirill IV,,Oleg,1071,18.0,Adam S,51,21
8,Vincent,8,Vincent,,Tom T,V,Greg,V,Oleg,,Oleg,V,Kirill IV,987,11.0,Max V,47,21
9,Alejo,5,Eric L,,Willie,V,Vivian,V,Vivian,,Colin R,,Tom S,903,7.0,Tom S,43,21
10,Oleg,28,_,,Kiril IA,,Vincent,,Colin R,V,Tom S,V,Colin R,840,13.0,Joshua,40,21
11,Max V,21,_,,Max V,,Fedor,,Kiril IA,,Vivian,,Kiril IA,777,14.0,Alix S,37,21
12,Fedor,12,Fedor,,Vadym,V,Colin R,V,Tom S,V,Kiril IA,V,Vivian,714,4.0,Tom T,34,21
13,Joshua,13,Joshua,,Tom S,,Kiril IA,V,Vincent,,Fedor,,Max V,651,17.0,Marinko,31,21
14,Alix S,20,Colin R,V,Oleg,V,Max V,,Fedor,V,Max V,V,Fedor,588,16.0,Kirill IV,28,21
15,Andy R,29,_,,Andy R,,Tom S,V,Max V,V,Vincent,V,Vincent,546,10.0,Oleg,26,21
16,Kirill IV,4,Tom T,,Greg,V,Andy R,,Andy R,,Andy R,,Andy R,504,6.0,Vadym,24,21
17,Marinko,3,Willie,,_,,Marinko,,Marinko,,Joshua,V,Joshua,462,20.0,Colin R,22,21
18,Adam S,30,_,,Marinko,,_,,Joshua,V,Alix S,,Alix S,420,,,20,21
19,Kiril IA,19,Kiril IA,V,_,,_,,Alix S,V,Marinko,V,Marinko,378,9.0,Alejo,18,21
20,Colin R,14,Alix S,,_,,Joshua,,Adam S,,Adam S,,Adam S,336,15.0,Andy R,16,21
21,_,11,Max V,,_,,Alix S,,_,,_,,_,294,19.0,Kiril IA,14,21
22,_,22,_,,_,,_,,_,,_,,_,252,,,12,21
23,_,27,_,,Joshua,,_,,_,,_,,_,210,,,10,21
24,_,6,Vadym,,_,,Adam S,,_,,_,,_,189,,,9,21
25,_,7,Tom S,,_,,_,,_,,_,,_,168,,,8,21
26,_,26,_,,Alix S,,_,,_,,_,,_,147,,,7,21
27,_,23,_,,_,,_,,_,,_,,_,126,,,6,21
28,_,10,Oleg,,_,,_,,_,,_,,_,105,,,5,21
29,_,15,Andy R,V,_,,_,,_,,_,,_,84,,,4,21
30,_,18,Adam S,,_,,_,,_,,_,,_,63,,,3,21
31,_,31,_,,Adam S,,_,,_,,_,,_,42,,,2,21
32,_,2,Greg,,_,,_,,_,,_,,_,21,,,1,21
