Place,Name,Unnamed: 2,L32,Unnamed: 4,L16,Unnamed: 6,L8,Unnamed: 8,Semi-final,Unnamed: 10,Final,Unnamed: 12,Winner,Points,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1,Greg,1,Greg,,Greg,,Greg,,Vadym,V,Vadym,,Alejo,1500,12.0,Joshua,100,15
2,Steph,32,_,,_,,Vadym,V,Vincent,,Alejo,V,Vadym,1275,14.0,Andy R,85,15
3,Willie,17,_,,Max V,,Vincent,V,Willie,,Vincent,,Willie,1125,11.0,Fedor,75,15
4,Anna Z,16,_,,Vadym,V,Anna Z,,Alejo,V,Willie,V,Vincent,1005,1.0,Greg,67,15
5,Vincent,9,Max V,,Vincent,V,Willie,V,Greg,V,Greg,V,Greg,915,3.0,Willie,61,15
6,Lukas N,24,_,,Joshua,,Lukas N,,Anna Z,,Steph,,Steph,825,4.0,Anna Z,55,15
7,Alejo,25,_,,Kirill IV,,Alejo,V,Lukas N,,Anna Z,V,Anna Z,765,6.0,Lukas N,51,15
8,Vadym,8,Vadym,,Anna Z,V,Steph,,Steph,V,Lukas N,,Lukas N,705,2.0,Steph,47,15
9,Max V,5,Vincent,,Willie,V,_,,Max V,V,Max V,V,Max V,645,5.0,Vincent,43,15
10,Oleg,28,_,,Andy R,,Max V,,Kirill IV,,Fedor,,Fedor,600,9.0,Max V,40,15
11,Fedor,21,_,,Fedor,,Joshua,,Fedor,V,Kirill IV,V,Kirill IV,555,13.0,Kirill IV,37,15
12,Joshua,12,Joshua,,Lukas N,V,Kirill IV,V,Gautam,,Gautam,,Gautam,510,10.0,Oleg,34,15
13,Kirill IV,13,Kirill IV,,Alejo,V,Andy R,,_,,Joshua,V,Joshua,465,8.0,Vadym,31,15
14,Andy R,20,_,,Oleg,,Fedor,V,Joshua,,Andy R,,Andy R,420,7.0,Alejo,28,15
15,Gautam,29,_,,Gautam,,Oleg,,Andy R,V,_,,Oleg,390,15.0,Gautam,26,15
16,_,4,Anna Z,,Steph,V,Gautam,V,Oleg,,Oleg,,_,360,,,24,15
17,_,3,Willie,,_,,_,,_,,_,,_,330,,,22,15
18,_,30,_,,_,,_,,_,,_,,_,300,,,20,15
19,_,19,_,,_,,_,,_,,_,,_,270,,,18,15
20,_,14,Andy R,,_,,_,,_,,_,,_,240,,,16,15
21,_,11,Fedor,,_,,_,,_,,_,,_,210,,,14,15
22,_,22,_,,_,,_,,_,,_,,_,180,,,12,15
23,_,27,_,,_,,_,,_,,_,,_,150,,,10,15
24,_,6,Lukas N,,_,,_,,_,,_,,_,135,,,9,15
25,_,7,Alejo,,_,,_,,_,,_,,_,120,,,8,15
26,_,26,_,,_,,_,,_,,_,,_,105,,,7,15
27,_,23,_,,_,,_,,_,,_,,_,90,,,6,15
28,_,10,Oleg,,_,,_,,_,,_,,_,75,,,5,15
29,_,15,Gautam,,_,,_,,_,,_,,_,60,,,4,15
30,_,18,_,,_,,_,,_,,_,,_,45,,,3,15
31,_,31,_,,_,,_,,_,,_,,_,30,,,2,15
32,_,2,Steph,,_,,_,,_,,_,,_,15,,,1,15
